Code PVF1;Syntaxon
44.0.2.0.1;Adenostylion alliariae Br.-Bl. 1926
44.0.2.0.2;Arunco dioici-Petasition albi Br.-Bl. & Sutter 1977
44.0.2.0.3;Doronicion corsici Gamisans 1977
45;Nardetea strictae Rivas Goday in Rivas Goday & Rivas-Martínez 1963
45.0.1;Nardetalia strictae Oberdorfer ex Preising 1949
45.0.1.0.1;Agrostion curtisii de Foucault 1986
45.0.1.0.2;Galio saxatilis-Festucion filiformis de Foucault 1994
45.0.1.0.3;Violion caninae Schwickerath 1944
45.0.1.0.4;Carici arenariae-Festucion filiformis de Foucault 1994
45.0.1.0.5;Nardo strictae-Juncion squarrosi (Oberdorfer 1957) Passarge 1964
46;Nerio oleandri-Tamaricetea africanae Br.-Bl. & O. Bolòs 1958
46.0.1;Tamaricetalia africanae Br.-Bl. & O. Bolòs 1958
46.0.1.0.1;Tamaricion africanae Br.-Bl. & O. Bolòs 1958
46.0.1.0.2;Rubo ulmifolii-Nerion oleandri O. Bolòs 1985
46.0.1.0.3;Imperato cylindricae-Erianthion ravennae Br.-Bl. & O. Bolòs 1958
47;Oryzetea sativae Miyawaki 1960
47.0.1;Cypero difformis-Echinochloetalia oryzoidis O. Bolòs & Masclans 1955
47.0.1.0.1;Oryzo sativae-Echinochloion oryzoidis O. Bolòs & Masclans 1955
48;Oxycocco palustris-Sphagnetea magellanici Br.-Bl. & Tüxen ex V. West., Dijk & Passchier 1946
48.0.1;Erico tetralicis-Sphagnetalia papillosi Schwickerath 1940
48.0.1.0.1;Oxycocco palustris-Ericion tetralicis Nordhagen ex Tüxen 1937
48.0.1.0.2;Ericion tetralicis Schwickerath 1933
48.0.2;Sphagnetalia medii M. Kästner & Flössner 1933
48.0.2.0.1;Sphagnion medii M. Kästner & Flössner 1933
49;Parietarietea judaicae Rivas-Martínez in Rivas Goday 1964
49.0.1;Parietarietalia judaicae Rivas-Martínez ex Rivas Goday 1964
49.0.1.0.1;Parietario judaicae-Galion muralis Rivas-Martínez ex Rivas Goday 1964
49.0.1.0.2;Cymbalario muralis-Asplenion rutae-murariae Segal 1969
49.0.1.0.3;Brassicion oleraceae Rivas-Martínez, Fern.-Gonz. & Loidi 1999
5;Anogrammo leptophyllae-Polypodietea cambrici Rivas-Martínez 1975
5.0.1;Anomodonto viticulosi-Polypodietalia cambrici O. Bolòs & Vives in O. Bolòs 1957
5.0.1.0.1;Bartramio strictae-Polypodion serrati O. Bolòs & Vives in O. Bolòs 1957
5.0.1.0.2;Hymenophyllion tunbrigensis Tüxen in Tüxen & Oberdorfer 1958 nom. nud.
5.0.1.0.3;Polypodion serrati Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
5.0.1.0.4;Selaginello denticulatae-Anogrammion leptophyllae Rivas-Martínez, Fernández González & Loidi 1999
50;Pegano harmalae-Salsoletea vermiculatae Br.-Bl. & O. Bolòs 1958
50.0.1;Salsolo vermiculatae-Peganetalia harmalae Br.-Bl. & O. Bolòs 1958
50.0.1.0.1;Salsolo vermiculatae-Artemision arborescentis Géhu & Biondi 1994
51;Phragmiti australis-Magnocaricetea elatae Klika in Klika & V. Novák 1941
51.0.1;Phragmitetalia australis Koch 1926
51.0.1.0.1;Phragmition communis Koch 1926
51.0.1.0.2;Oenanthion aquaticae Hejný ex Neuhäusl 1959
51.0.1.0.3;Phalaridion arundinaceae Kopecký 1961
51.0.2;Magnocaricetalia elatae Pignatti 1954
51.0.2.0.1;Magnocaricion elatae Koch 1926
51.0.2.0.2;Caricion gracilis Neuhäusl 1959
51.0.2.0.3;Carici pseudocyperi-Rumicion hydrolapathi Passarge 1964
51.0.3;Scirpetalia compacti Hejný in Holub, Hejný, Moravec & Neuhäusl 1967 corr. Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
51.0.3.0.1;Scirpion compacti Dahl & Hada? 1941 corr. Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
51.0.3.0.2;Scirpion compacto-littoralis Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
52;Pino sylvestris-Juniperetea sabinae Rivas-Martínez 1964
52.0.1;Pino sylvestris-Juniperetalia sabinae Rivas-Martínez 1964
52.0.1.0.1;Juniperion thuriferae Rivas-Martínez 1969
53;Polygono arenastri-Poetea annuae Rivas-Martínez 1975 corr. Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
53.0.1;Polygono arenastri-Poetalia annuae Tüxen in Géhu, Richard & Tüxen 1972 corr. Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
53.0.1.0.1;Saginion procumbentis Tüxen & Ohba in Géhu, Richard & Tüxen 1972
53.0.1.0.2;Polygono arenastri-Coronopodion squamati Br.-Bl. ex Sissingh 1969
53.0.1.0.3;Polycarpion tetraphylli Rivas-Martínez 1975
53.0.1.0.4;Sclerochloo durae-Coronopodion squamati Rivas-Martínez 1975
54;Posidonietea oceanicae Hartog 1976 ex Géhu 2004
54.0.1;Posidonietalia oceanicae Hartog ex Géhu 2004
54.0.1.0.1;Posidonion oceanicae Br.-Bl., Roussine & Nègre 1952
55;Potametea pectinati Klika in Klika & V. Novák 1941
55.0.1;Potametalia pectinati Koch 1926
55.0.1.0.1;Nymphaeion albae Oberdorfer 1957
55.0.1.0.2;Potamion pectinati (Koch 1926) Libbert 1931
55.0.1.0.3;Potamion polygonifolii Hartog & Segal 1964
55.0.1.0.4;Ranunculion aquatilis Passarge 1964
55.0.1.0.5;Batrachion fluitantis Neuhäusl 1959
56;Quercetea ilicis Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
56.0.1;Quercetalia ilicis Br.-Bl. ex Molinier 1934
56.0.1.0.1;Quercion ilicis Br.-Bl. ex Molinier 1934
56.0.1.0.1.1;Quercenion ilicis Rivas Goday 1960
56.0.1.0.1.2;Quercenion suberis (Loisel 1971) Rameau suball. prov. et stat. prov.
56.0.1.0.1.3;Querco ilicis-Pinenion maritimi Géhu & Géhu-Franck ex Géhu 2004
56.0.2;Pistacio lentisci-Rhamnetalia alaterni Rivas-Martínez 1975
56.0.2.0.1;Ericion arboreae Rivas-Martínez (1975) 1987
56.0.2.0.2;Oleo sylvestris-Ceratonion siliquae Br.-Bl. ex Guinochet & Drouineau 1944
56.0.2.0.3;Rhamno lycioidis-Quercion cocciferae Rivas Goday ex Rivas-Martínez 1975
56.0.2.0.4;Juniperion turbinatae Rivas-Martínez 1975 corr. 1987
57;Querco roboris-Fagetea sylvaticae Br.-Bl. & J. Vlieger in J. Vlieger 1937
57.0.1;Quercetalia pubescenti-sessiliflorae Klika 1933 corr. Moravec in Béguin & Theurillat 1984
57.0.1.0.1;Quercion pubescenti-sessiliflorae Br.-Bl. 1932
57.0.1.0.1.1;Buxo sempervirentis-Quercenion pubescentis (Zólyomi & Jakucs in Jakucs 1960) Rivas-Martínez 1972
57.0.1.0.1.2;Sorbo ariae-Quercenion pubescentis Rameau 1996 nom. inval.
57.0.1.0.2;Potentillo albae-Quercion petraeae (Zólyomi & Jakucs ex Jakucs 1960) Jakucs 1967
57.0.1.0.3;Carpinion orientalis Horvat 1958
57.0.2;Quercetalia roboris Tüxen 1931
57.0.2.0.1;Quercion robori-pyrenaicae (Br.-Bl., P. Silva, Rozeira & Fontes 1956) Rivas-Martínez 1975 nom. nud.
57.0.2.0.1.1;Quercenion robori-pyrenaicae Rivas-Martínez 1975
57.0.2.0.2;Quercion roboris Malcuit 1929
57.0.2.0.2.1;Hyperico montani-Quercenion robori-petraeae Rameau 1996 nom. inval.
57.0.2.0.2.2;Ilici aquifolii-Quercenion petraeae Rameau suball. prov.
57.0.2.0.2.3;Quercenion robori-petraeae Rivas-Martínez 1975
57.0.2.0.3;Molinio caeruleae-Quercion roboris Scamoni & Passarge 1959
57.0.3;Fagetalia sylvaticae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
57.0.3.1;Carpino betuli-Fagenalia sylvaticae Rameau (1981) 1996 nom. inval.
57.0.3.1.1;Fraxino excelsioris-Quercion roboris Rameau 1996 nom. inval.
57.0.3.1.2;Carpinion betuli Issler 1931
57.0.3.1.3;Polysticho setiferi-Fraxinion excelsioris (O. Bolòs 1973) Rameau 1996 nom. inval.
57.0.3.2;Cephalanthero rubrae-Fagenalia sylvaticae Rameau (1981) 1996 nom. inval.
57.0.3.2.1;Cephalanthero rubrae-Fagion sylvaticae (Tüxen in Tüxen & Oberdorfer 1958) Rameau 1996 nom. inval.
57.0.3.2.2;Tilion platyphylli Moor 1973
57.0.3.3;Fagenalia sylvaticae Rameau prov.
57.0.3.3.1;Fagion sylvaticae Luquet 1926
57.0.3.3.1.1;Geranio nodosi-Fagenion sylvaticae (S. Gentile 1974) Ubaldi & Speranza 1985
57.0.3.3.1.2;Scillo lilio-hyacinthi-Fagenion sylvaticae Oberdorfer ex Rivas-Martínez 1973
57.0.3.3.1.3;Eu-Fagenion sylvaticae Oberdorfer 1957
57.0.3.3.2;Tilio platyphylli-Acerion pseudoplatani Klika 1955
57.0.3.3.3;Luzulo luzuloidis-Fagion sylvaticae Lohmeyer & Tüxen in Tüxen 1954
57.0.3.3.3.1;Galio rotundifolii-Fagenion sylvaticae Gamisans (1977) 1979
57.0.3.3.3.2;Ilici aquifolii-Fagenion sylvaticae (Br.-Bl. 1967) Rivas-Martínez 1973
57.0.3.3.3.3;Luzulo luzuloidis-Fagenion sylvaticae (Lohmeyer & Tüxen in Tüxen 1954) Oberdorfer 1957
57.0.3.3.3.4;Galio rotundifolii-Abietenion albae Oberdorfer 1962
57.0.3.3.3.5;Deschampsio flexuosae-Acerenion pseudoplatani Müller in Oberdorfer 1992
57.0.3.3.4;Acerion pseudoplatani (Oberdorfer 1957) Rameau in Rameau, Mansion & Dumé 1993 nom. nud.
57.0.4;Populetalia albae Br.-Bl. ex Tchou 1948
57.0.4.1;Populenalia albae (Br.-Bl. ex Tchou 1948) Rameau 1996 nom. nud.
57.0.4.1.1;Populion albae Br.-Bl. ex Tchou 1948
57.0.4.1.1.1;Populenion albae Rivas-Martínez 1975
57.0.4.1.1.2;Fraxino angustifoliae-Ulmenion minoris Rivas-Martínez 1975
57.0.4.1.2;Osmundo regalis-Alnion glutinosae (Br.-Bl., P. Silva & Rozeira 1956) Rivas-Martínez 1975
57.0.4.1.2.1;Hyperico hircini-Alnenion glutinosae Dierschke 1975
57.0.4.1.2.2;Osmundo regalis-Alnenion glutinosae ?
57.0.4.2;Alno glutinosae-Ulmenalia minoris Rameau 1981
57.0.4.2.1;Alnion incanae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
57.0.4.2.1.1;Alnenion glutinoso-incanae Oberdorfer 1953
57.0.4.2.1.2;Ulmenion minoris Oberdorfer 1953
58;Rosmarinetea officinalis Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas 1991
58.0.1;Rosmarinetalia officinalis Br.-Bl. ex Molinier 1934
58.0.1.0.1;Rosmarinion officinalis Br.-Bl. ex Molinier 1934
58.0.1.0.2;Helianthemo italici-Aphyllanthion monspeliensis Díez Garretas, Fernández González & Asensi 1998
58.0.2;Helichrysetalia italici Biondi & Géhu in Géhu & Biondi 1994
58.0.2.0.1;Euphorbion pithuysae Biondi & Géhu in Géhu & Biondi 1994
58.0.2.0.2;Dactylo hispanici-Helichrysion staechadis Géhu & Biondi 1994
59;Ruppietea maritimae J. Tüxen 1960 nom. nud.
59.0.1;Ruppietalia maritimae J. Tüxen 1960 nom. nud.
59.0.1.0.1;Ruppion maritimae Br.-Bl. ex Westhoff 1943 nom. ined.
59.0.1.0.2;Zannichellion pedicellatae Schaminée, B. Lanjouw & Schipper ex Pott 1992
59.0.1.0.3;Eleocharition parvulae Segal 1968 nom. nud.
6;Arrhenatheretea elatioris Br.-Bl. 1949 nom. nud.
6.0.1;Arrhenatheretalia elatioris Tüxen 1931
6.0.1.0.1;Arrhenatherion elatioris Koch 1926
6.0.1.0.1.1;Centaureo jaceae-Arrhenatherenion elatioris de Foucault 1989
6.0.1.0.1.2;Colchico autumnalis-Arrhenatherenion elatioris de Foucault 1989
6.0.1.0.1.3;Rumici obtusifolii-Arrhenatherenion elatioris de Foucault 1989
6.0.1.0.2;Brachypodio rupestris-Centaureion nemoralis Br.-Bl. 1967
6.0.1.0.3;Triseto flavescentis-Polygonion bistortae Br.-Bl. & Tüxen ex Marschall 1947
6.0.1.0.3.1;Violo sudeticae-Trisetenion flavescentis Julve 1993 nom. inval.
6.0.1.0.3.2;Lathyro linifolii-Trisetenion flavescentis Dierschke 1981 nom. inval.
6.0.1.0.3.3;Campanulo rhomboidalis-Trisetenion flavescentis Dierschke in Theurillat 1992
6.0.2;Trifolio repentis-Phleetalia pratensis Passarge 1969
6.0.2.0.1;Cynosurion cristati Tüxen 1947
6.0.2.0.1.1;Bromo mollis-Cynosurenion cristati Passarge 1969
6.0.2.0.1.2;Sanguisorbo minoris-Cynosurenion cristati Passarge 1969
6.0.2.0.1.3;Polygalo vulgaris-Cynosurenion cristati Jurko 1974
6.0.2.0.1.4;Cardamino pratensis-Cynosurenion cristati Passarge 1969
6.0.2.0.1.5;Alchemillo xantochlorae-Cynosurenion cristati Passarge 1969
6.0.2.0.2;Poion alpinae Gams ex Oberdorfer 1950
6.0.3;Plantaginetalia majoris Tüxen ex von Rochow 1951
6.0.3.0.1;Lolio perennis-Plantaginion majoris Sissingh 1969
6.0.3.0.2;Trifolio fragiferi-Cynodontion dactylonis Br.-Bl. & O. Bolòs 1958
6.0.3.0.3;Poion supinae Rivas-Martínez & Géhu 1978
60;Saginetea maritimae Westhoff, van Leeuwen & Adriani 1962
60.0.1;Saginetalia maritimae Westhoff, van Leeuwen & Adriani 1962
60.0.1.0.1;Saginion maritimae Westhoff, van Leeuwen & Adriani 1962
60.0.2;Frankenietalia pulverulentae Rivas-Martínez ex Castroviejo & Porta 1976
60.0.2.0.1;Frankenion pulverulentae Rivas-Martínez ex Castroviejo & Porta 1976
60.0.2.0.2;Hordeion marini Ladero, F. Navarro, C. Valle, B. Marcos, Ruiz & M.T. Santos 1984
61;Salicetea herbaceae Br.-Bl. 1948
61.0.1;Arabidetalia caeruleae Rübel ex Nordhagen 1936
61.0.1.0.1;Arabidion caeruleae Br.-Bl. in Br.-Bl. & H. Jenny 1926
61.0.2;Salicetalia herbaceae Br.-Bl. in Br.-Bl. & H. Jenny 1926
61.0.2.0.1;Salicion herbaceae Br.-Bl. in Br.-Bl. & H. Jenny 1926
62;Salicetea purpureae Moor 1958
62.0.1;Salicetalia purpureae Moor 1958
62.0.1.0.1;Salicion triandrae Müller & Görs 1958
62.0.1.0.2;Salicion incanae Aichinger 1933
62.0.1.0.3;Salicion triandro-neotrichae Br.-Bl. & O. Bolòs 1958
62.0.2;Salicetalia albae Müller & Görs 1958 nom. inval.
62.0.2.0.1;Salicion albae Soó 1930
62.0.2.0.2;Rubo caesii-Populion nigrae Passarge 1985
63;Salicornietea fruticosae Br.-Bl. & Tüxen ex A. Bolòs & O. Bolòs in A. Bolòs 1950
63.0.1;Salicornietalia fruticosae Br.-Bl. 1933
63.0.1.0.1;Halimionion portulacoidis Géhu 1976
63.0.1.0.2;Salicornion fruticosae Br.-Bl. 1933
63.0.1.0.2.1;Sarcocornienion alpini Rivas-Martínez, Lousã, T.E. Diáz, Fern.-Gonz. & J.C. Costa 1990
63.0.1.0.2.2;Arthrocnemenion fruticosi Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980
63.0.1.0.2.3;Arthrocnemenion glauci (Rivas-Martínez & Costa 1984) Géhu & Géhu-Franck 1984
63.0.1.0.2.4;Suaedenion verae Rivas-Martínez, Lousã, T.E. Diáz, Fern.-Gonz. & J.C. Costa 1990
63.0.2;Limonietalia Br.-Bl. & O. Bolòs 1958
63.0.2.0.1;Limonion confusi (Br.-Bl. 1933) Rivas-Martínez & Costa 1984
63.0.2.0.2;Limoniastrion monopetali Pignatti 1953
64;Scheuchzerio palustris-Caricetea fuscae Tüxen 1937
64.0.1;Scheuchzerietalia palustris Nordhagen 1936
64.0.1.0.1;Rhynchosporion albae Koch 1926
64.0.1.0.2;Caricion lasiocarpae Vanden Berghen in Lebrun, Noirfalise, Heinemann & Vanden Berghen 1949
64.0.1.0.2.1;Junco acutiflori-Caricenion lasiocarpae (Julve 1993 nom. inval.) Royer stat. prov.
64.0.1.0.2.2;Junco subnodulosi-Caricenion lasiocarpae (Julve 1993 nom. inval.) Royer stat. prov.
64.0.1.0.2.3;Eriophorenion alpini Julve ex Royer 2004
64.0.1.0.2.4;Caricenion chordorrhizo-lasiocarpae (Julve 1993 nom. inval.) Royer stat. prov.
64.0.2;Caricetalia fuscae Koch 1926
64.0.2.0.1;Caricion fuscae Koch 1926
64.0.2.0.2;Eriophorion scheuchzeri Hada? 1939
64.0.2.0.3;Bellidi bernardii-Bellion nivalis Gamisans 1977
64.0.3;Caricetalia davallianae Br.-Bl. 1949
64.0.3.0.1;Caricion davallianae Klika 1934
64.0.3.0.1.1;Schoenenion nigricantis Giugni 1991
64.0.3.0.1.2;Caricenion davallianae Giugni 1991
64.0.3.0.2;Hydrocotylo vulgaris-Schoenion nigricantis de Foucault 2008
64.0.3.0.2.1;Caricenion pulchello-trinervis (Julve 1993 nom. nud.) stat. prov.
64.0.3.0.2.2;Hydrocotylo vulgaris-Schoenenion nigricantis Royer suball. prov.
64.0.3.0.3;Caricion incurvae Br.-Bl. in Volk 1940
65;Sedo albi-Scleranthetea biennis Br.-Bl. 1955
65.0.1;Sedo albi-Scleranthetalia biennis Br.-Bl. 1955
65.0.1.0.1;Sedo albi-Scleranthion biennis Br.-Bl. 1955
65.0.1.0.2;Sedion pyrenaici Tüxen ex Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas in T.E. Diáz & F. Prieto 1994
65.0.1.0.3;Sedion anglici Br.-Bl. in Br.-Bl. & Tüxen 1952
65.0.2;Alysso alyssoidis-Sedetalia albi Moravec 1967
65.0.2.0.1;Alysso alyssoidis-Sedion albi Oberdorfer & Müller in Müller 1961
65.0.2.0.2;Sedo albi-Veronicion dillenii Oberdorfer ex Korneck 1974
65.0.2.0.3;Sedion micrantho-sediformis Rivas-Martínez, Sánchez-Gómez & Alcaraz in Sánchez-Gómez & Alcaraz 1993
66;Sisymbrietea officinalis Gutte & Hilbig 1975
66.0.1;Brometalia rubenti-tectorum Rivas-Martínez & Izco 1977
66.0.1.0.1;Echio lycopsis-Galactition tomentosae O. Bolòs & Molinier 1969
66.0.1.0.2;Taeniathero caput-medusae-Aegilopion geniculatae Rivas-Martínez & Izco 1977
66.0.1.0.3;Laguro ovati-Bromion rigidi Géhu & Géhu-Franck ex Géhu 2004
66.0.2;Sisymbrietalia officinalis J. Tüxen ex W. Matuszkiewicz 1962
66.0.2.0.1;Sisymbrion officinalis Tüxen, Lohmeyer & Preising ex von Rochow 1951
66.0.2.0.2;Malvion neglectae (Gutte 1966) Hejný 1978
66.0.2.0.3;Hordeion murini Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936
66.0.2.0.4;Salsolion ruthenicae Philippi 1971
66.0.3;Chenopodietalia muralis Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936
66.0.3.0.1;Chenopodion muralis Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936
66.0.3.0.2;Malvion parviflorae (Rivas-Martínez 1978) Brullo in Brullo & Marcenò 1985
66.0.3.0.3;Mesembryanthenion crystallini Rivas-Martínez, Wildpret, del Arco, Rodriguez, Pérez de Paz, Garcia-Gallo, Acebes, T.E. Diáz & Fernández González 1993
67;Spartinetea glabrae Tüxen in Beeftink 1962
67.0.1;Spartinetalia glabrae Conard 1935
67.0.1.0.1;Spartinion anglicae Géhu 2004
68;Stellarietea mediae Tüxen, Lohmeyer & Preising ex von Rochow 1951
68.0.1;Aperetalia spicae-venti J. Tüxen & Tüxen in Malato-Beliz, J. Tüxen & Tüxen 1960
68.0.1.0.1;Scleranthion annui (Kruseman & J. Vlieger 1939) Sissingh in Westhoff, Dijk, Passchier & Sissingh 1946
68.0.1.0.1.1;Arnoseridenion minimae (Malato-Beliz, J. Tüxen & Tüxen 1960) Oberdorfer 1983
68.0.1.0.1.2;Scleranthenion annui Kruseman & J. Vlieger 1939
68.0.1.0.2;Rumicion bucephalori Nezadal 1989
68.0.2;Centaureetalia cyani Tüxen, Lohmeyer & Preising in Tüxen ex von Rochow 1951
68.0.2.0.1;Caucalidion lappulae Tüxen 1950 nom. nud.
68.0.2.0.2;Roemerion hybridae Br.-Bl. ex Rivas-Martínez, Fernández González & Loidi 1998
68.0.3;Chenopodietalia albi Tüxen & Lohmeyer ex von Rochow 1951
68.0.3.0.1;Diplotaxion erucoidis Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936
68.0.3.0.2;Panico crus-galli-Setarion viridis Sissingh in Westhoff, Dijk, Passchier & Sissingh 1946
68.0.3.0.2.1;Panico crus-galli-Setarenion viridis (Sissingh in Westhoff, Dijk, Passchier & Sissingh 1946) Oberdorfer 1957
68.0.3.0.2.2;Eu-Polygono persicariae-Chenopodenion polyspermi Oberdorfer 1957
68.0.3.0.3;Veronico agrestis-Euphorbion peplus Sissingh ex Passarge 1964
69;Stipo capensis-Trachynietea distachyae Brullo 1985
69.0.1;Brachypodietalia distachyae Rivas-Martínez 1978
69.0.1.0.1;Trachynion distachyae Rivas-Martínez ex Rivas-Martínez, Fern.-Gonz. & Loidi 1999
7;Artemisietea vulgaris Lohmeyer, Preising & Tüxen ex von Rochow 1951
7.0.1;Artemisietalia vulgaris Tüxen 1947 nom. nud.
7.0.1.0.1;Arction lappae Tüxen 1937
7.0.1.0.1.1;Arctienion lappae Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
7.0.1.0.1.2;Sambucenion ebuli O. Bolòs & Vigo in Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
7.0.1.0.2;Rumicion pseudalpini Rübel ex Scharfetter 1938 corr. Loidi & Biurrun 1996
7.0.2;Onopordetalia acanthii Br.-Bl. & Tüxen ex Klika in Klika & Hada? 1944
7.0.2.0.1;Onopordion acanthii Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936
7.0.2.0.2;Dauco carotae-Melilotion albi Görs 1966
7.0.3;Carthametalia lanati Brullo in Brullo & Marcenò 1985
7.0.3.0.1;Onopordion nervosi Br.-Bl. & O. Bolòs 1958 corr. Rivas-Martínez 1975
7.0.3.0.2;Silybo mariani-Urticion piluliferae Sissingh ex Br.-Bl. & O. Bolòs 1958
70;Thero-Suaedetea splendentis Rivas-Martínez 1972
70.0.1;Thero-Salicornietalia dolichostachyae Tüxen ex Boullet & Géhu 2004
70.0.1.0.1;Salicornion dolichostachyo-fragilis Géhu & Rivas-Martínez ex Géhu 2004
70.0.1.0.2;Salicornion europaeo-ramosissimae Géhu & Géhu-Franck ex Rivas-Martínez 1990
70.0.1.0.3;Salicornion patulae Géhu & Géhu-Franck ex Rivas-Martínez 1990
70.0.2;Thero-Suaedetalia splendentis Br.-Bl. & O. Bolòs 1958
70.0.2.0.1;Thero-Suaedion splendentis Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
71;Thlaspietea rotundifolii Br.-Bl. 1948
71.0.1;Andryaletalia ragusinae Rivas Goday in Rivas Goday & Esteve 1972
71.0.1.0.1;Pimpinello tragium-Gouffeion arenarioidis Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
71.0.2;Stipetalia calamagrostis Oberdorfer & Seibert in Oberdorfer 1977
71.0.2.0.1;Leontodontion hyoseroidis Duvigneaud, Durin & Mullend. 1970
71.0.2.0.2;Stipion calamagrostis Jenny ex Quantin 1932
71.0.2.0.3;Scrophularion juratensis Béguin ex Richard 1971
71.0.3;Thlaspietalia rotundifolii Br.-Bl. in Br.-Bl. & H. Jenny 1926
71.0.3.0.1;Arabidion alpinae Béguin 1972
71.0.3.0.2;Thlaspion rotundifolii Jenny 1930
71.0.3.0.3;Petasition paradoxi B. Zollitsch ex Lippert 1966
71.0.3.0.4;Iberidion spathulatae Br.-Bl. 1948
71.0.4;Drabetalia hoppeanae B. Zollitsch ex Merxm. & B. Zollitsch 1967
71.0.4.0.1;Androsacion ciliatae Rivas-Martínez 1988
71.0.4.0.2;Drabion hoppeanae B. Zollitsch ex Merxm. & B. Zollitsch 1967
71.0.5;Galeopsietalia segetum Oberdorfer & Seibert in Oberdorfer 1977
71.0.5.0.1;Galeopsion segetum Oberdorfer 1957
71.0.5.0.2;Galeopsion pyrenaicae Rivas-Martínez 1977
71.0.6;Androsacetalia alpinae Br.-Bl. in Br.-Bl. & H. Jenny 1926
71.0.6.0.1;Allosuro crispi-Athyrion alpestris Nordhagen 1936 nom. inval.
71.0.6.0.2;Senecionion leucophylli Br.-Bl. 1948
71.0.6.0.3;Androsacion alpinae Br.-Bl. in Br.-Bl. & H. Jenny 1926
71.0.7;Polystichetalia lonchitidis Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas 1984 nom. inval.
71.0.7.0.1;Dryopteridion abbreviatae Rivas-Martínez 1977
71.0.7.0.2;Dryopteridion submontanae Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas 1984
71.0.8;Epilobietalia fleischeri Moor 1958
71.0.8.0.1;Epilobion fleischeri G. Braun-Blanquet ex Br.-Bl. 1949
71.0.8.0.2;Glaucion flavi Br.-Bl. ex Tchou 1948
72;Trifolio medii-Geranietea sanguinei Müller 1962
72.0.1;Origanetalia vulgaris Müller 1962
72.0.1.0.1;Geranion sanguinei Tüxen in Müller 1962
72.0.1.0.2;Trifolion medii Müller 1962
72.0.1.0.2.1;Trifolio medii-Geranienion sanguinei van Gils & Gilissen 1976
72.0.1.0.2.2;Trifolio medii-Agrimonienion medii Knapp 1976 nom. nud.
72.0.1.0.2.3;Trifolio medii-Teucrienion scorodoniae Knapp 1976
72.0.1.0.3;Knaution gracilis Julve 1993 nom. inval.
72.0.1.0.4;Galio littoralis-Geranion sanguinei Géhu & Géhu-Franck 1983
73;Utricularietea intermedio-minoris Pietsch ex Krausch 1968
73.0.1;Utricularietalia intermedio-minoris Pietsch ex Krausch 1968
73.0.1.0.1;Sphagno cuspidati-Utricularion minoris Müller & Görs 1960
73.0.1.0.2;Scorpidio scorpidioidis-Utricularion minoris Pietsch ex Krausch 1968
74;Vaccinio myrtilli-Piceetea abietis Br.-Bl. in Br.-Bl., Sissingh & J. Vlieger 1939
74.0.1;Pinetalia sylvestris Oberdorfer 1957
74.0.1.0.1;Dicrano undulati-Pinion sylvestris (Libbert 1933) W. Matuszkiewicz 1962
74.0.1.0.2;Deschampsio flexuosae-Pinion sylvestris Br.-Bl. 1961
74.0.1.0.3;Cytision oromediterranei Tüxen in Tüxen & Oberdorfer 1958 corr. Rivas-Martínez 1987
74.0.1.0.3.1;Cytiso oromediterranei-Pinenion sylvestris Rameau suball. prov.
74.0.1.0.3.2;Cytisenion oromediterranei (Tüxen in Tüxen & Oberdorfer 1958) Rivas-Martínez 1964 corr. Rivas-Martínez 1987
74.0.2;Sphagno-Betuletalia pubescentis Lohmeyer & Tüxen in Scamoni & Passarge 1959
74.0.2.0.1;Betulion pubescentis Lohmeyer & Tüxen ex Scamoni & Passarge 1959
74.0.3;Piceetalia excelsae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
74.0.3.0.1;Piceion excelsae Paw?owski in Paw?owski, Soko?owski & Wallisch 1928
74.0.3.0.1.1;Vaccinio vitis-idaeae-Abietenion albae Oberdorfer 1962
74.0.3.0.1.2;Rhododendro ferruginei-Abietenion albae Rameau 1996 nom. inval.
74.0.3.0.1.3;Eu-Vaccinio myrtilli-Piceenion abietis Oberdorfer 1957
