Code PVF1;Syntaxon
20.0.2.0.10.2;Salici cinereae-Viburnenion opuli Passarge 1985
20.0.2.0.10.3;Humulo lupuli-Sambucenion nigrae de Foucault & Julve ex Rameau suball. prov.
20.0.2.0.11;Pruno spinosae-Rubion radulae Weber 1974
20.0.2.0.11.1;Rubo-Prunenion spinosae Weber in Dierschke 1981
20.0.2.0.11.2;Frangulo alni-Rubenion (Rivas Goday 1964) Oberdorfer 1983 nom. inval.
20.0.2.0.11.3;Lonicero-Rubenion sylvatici Tüxen & Neumann ex Wittig 1977
20.0.2.0.2;Pruno spinosae-Rubion ulmifolii O. Bolòs 1954
20.0.2.0.3;Tamo communis-Viburnion lantanae (Géhu, de Foucault & Delelis 1983) Géhu all. prov. et stat. prov.
20.0.2.0.4;Lonicerion periclymeni Géhu, de Foucault & Delelis 1983
20.0.2.0.5;Frangulo alni-Pyrion cordatae Herrera, F. Prieto & Loidi 1991
20.0.2.0.6;Ulici europaei-Rubion ulmifolii Weber 1997
20.0.2.0.7;Berberidion vulgaris Br.-Bl. 1950
20.0.2.0.7.1;Berberidenion vulgaris Géhu, de Foucault & Delelis 1983
20.0.2.0.7.2;Berberido vulgaris-Juniperenion sabinae Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
20.0.2.0.7.3;Rosenion micranthae Arlot ex Rameau suball. prov.
20.0.2.0.8;Carpino betuli-Prunion spinosae Weber 1974
20.0.2.0.9;Corylo avellanae-Populion tremulae (Br.-Bl. ex Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995) Géhu all. prov. et stat. prov.
20.0.3;Sambucetalia racemosae Oberdorfer ex Passarge in Scamoni 1963
20.0.3.0.1;Sambuco racemosae-Salicion capreae Tüxen & Neumann in Tüxen 1950
21;Crithmo maritimi-Staticetea Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
21.0.1;Crithmo maritimi-Staticetalia Molinier 1934
21.0.1.0.1;Crithmo maritimi-Limonion binervosi Géhu & Géhu-Franck ex Géhu 1997
21.0.1.0.2;Crithmo maritimi-Staticion Molinier 1934
21.0.1.0.3;Erodion corsici (Gamisans & Muracciole 1984) Géhu & Biondi 1994
22;Cytisetea scopario-striati Rivas-Martínez 1975
22.0.1;Cytisetalia scopario-striati Rivas-Martínez 1975
22.0.1.0.1;Ulici europaei-Cytision striati Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
22.0.1.0.2;Sarothamnion scoparii Tüxen ex Oberdorfer 1957
22.0.1.0.3;Cytision oromediterraneo-scoparii Rivas-Martínez, Cantó & Sánchez-Mata 2002
23;Epilobietea angustifolii Tüxen & Preising ex von Rochow 1951
23.0.1;Atropetalia belladonnae J. Vlieger 1937
23.0.1.0.1;Atropion belladonnae Aichinger 1933
23.0.1.0.2;Epilobion angustifolii Tüxen ex Eggler 1952
24;Erico carneae-Pinetea sylvestris Horvat 1959
24.0.1;Junipero hemisphaericae-Pinetalia sylvestris Rameau 1998
24.0.1.0.1;Junipero intermediae-Pinion catalaunicae Rivas-Martínez 1983 corr. Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fern.-Gonz., Loidi, Lousã & Penas 2000
24.0.2;Buxo sempervirentis-Pinetalia sylvestris Rameau 1998
24.0.2.0.1;Cephalanthero rubrae-Pinion sylvestris Vanden Berghen 1963
24.0.3;Astragalo monspessulani-Pinetalia sylvestris Oberdorfer ex Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
24.0.3.0.1;Ononido rotundifolii-Pinion sylvestris Br.-Bl. & R. Rich. 1950
24.0.3.0.1.1;Ononido rotundifolii-Pinenion sylvestris Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
24.0.4;Erico carneae-Pinetalia sylvestris Horvat 1959
24.0.4.0.1;Erico carneae-Pinion sylvestris Br.-Bl. in Br.-Bl., Sissingh & J. Vlieger 1939 nom. inv. propos.
24.0.4.0.1.1;Erico carneae-Pinenion sylvestris Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
24.0.4.0.1.2;Molinio arundinaceae-Pinenion sylvestris Ellenberg & Klötzli ex Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995
24.0.5;Junipero-Pinetalia mugo Bo?caiu 1971
24.0.5.0.1;Rhododendro hirsuti-Pinion mugo Rivas-Martínez, Báscones, T.E. Diáz, Fernández González & Loidi 1991
25;Euphorbio paraliae-Ammophiletea australis Géhu & Géhu-Franck 1988 corr. Géhu in Bardat et al. 2004
25.0.1;Ammophiletalia australis Br.-Bl. 1933
25.0.1.0.1;Ammophilion arenariae (Tüxen in Br.-Bl. & Tüxen 1952) Géhu 1988
25.0.1.0.1.1;Agropyro boreoatlantici-Minuartienion peploidis (Tüxen in Br.-Bl. & Tüxen 1952) Géhu 1988
25.0.1.0.1.2;Ammophilenion arenariae Géhu 1988
25.0.1.0.1.3;Euphorbio paraliae-Festucenion arenariae Géhu (1975) 1994
25.0.1.0.2;Ammophilion australis Br.-Bl. 1921 corr. Rivas-Martínez, Costa & Izco in Rivas-Martínez, Lousã, T.E. Diáz, Fern.-Gonz. & J.C. Costa 1990
25.0.1.0.2.1;Sporobolenion arenarii Géhu 1988
25.0.1.0.2.2;Sporobolo arenarii-Elymenion farcti Géhu 1988
25.0.1.0.2.3;Ammophilenion australis Rivas-Martínez & Géhu in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980 corr. Rivas-Martínez, Lousã, T.E. Diáz, Fern.-Gonz. & J.C. Costa 1990
25.0.1.0.3;Crucianellion maritimae Rivas Goday & Rivas-Martínez 1958
26;Festuco valesiacae-Brometea erecti Br.-Bl. & Tüxen ex Br.-Bl. 1949
26.0.1;Festucetalia valesiacae Br.-Bl. & Tüxen ex Br.-Bl. 1949
26.0.1.0.1;Stipo capillatae-Poion carniolicae Br.-Bl. 1961
26.0.2;Brometalia erecti Koch 1926
26.0.2.0.1;Potentillo montanae-Brachypodion rupestris Br.-Bl. 1967 corr. Guitían, Izco & Amigo 1989
26.0.2.0.2;Gentianello amarellae-Avenulion pratensis Royer 1987 nom. inval.
26.0.2.0.3;Mesobromion erecti (Br.-Bl. & Moor 1938) Oberdorfer 1957 nom. cons. propos.
26.0.2.0.3.1;Mesobromenion erecti Br.-Bl. & Moor 1938
26.0.2.0.3.2;Chamaespartio sagittalis-Agrostidenion tenuis Vigo 1982
26.0.2.0.3.3;Tetragonolobo maritimi-Mesobromenion erecti Royer 1991 nom. inval.
26.0.2.0.3.4;Teucrio montani-Mesobromenion erecti Royer 1991 nom. inval.
26.0.2.0.3.5;Seslerio caeruleae-Mesobromenion erecti Oberdorfer 1957
26.0.2.0.3.6;Festucenion timbalii Boullet 1986 nom. ined.
26.0.2.0.4;Xerobromion erecti (Br.-Bl. & Moor 1938) Moravec in Holub, Hejný, Moravec & Neuhäusl 1967
26.0.2.0.4.1;Xerobromenion erecti Br.-Bl. & Moor 1938
26.0.2.0.4.2;Seslerio caeruleae-Xerobromenion erecti Oberdorfer 1957
26.0.2.0.5;Diantho gratianopolitani-Melicion ciliatae (Korneck 1974) Royer 1991
26.0.2.0.6;Festuco amethystinae-Bromion erecti Barbero & Loisel 1972
26.0.2.0.7;Koelerio macranthae-Phleion phleoidis Korneck 1974
26.0.2.0.7.1;Dactylorhizo latifoliae-Saxifragenion granulatae Royer 2004
26.0.2.0.7.2;Armerienion elongatae Krausch 1962 ex Royer 2004
26.0.3;Ononidetalia striatae Br.-Bl. 1950
26.0.3.0.1;Ononidion striatae Br.-Bl. & Susplugas 1937
26.0.3.0.2;Seslerion elegantissimae (Vanden Berghen 1963) Barbero, Loisel & Quézel 1972
26.0.3.0.3;Genistion lobelii Molinier 1934
26.0.3.0.4;Echinospartion horridi Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas 1991
26.0.3.0.5;Lavandulo angustifoliae-Genistion cinereae Barbero, Loisel & Quézel 1972
26.0.3.0.5.1;Lavandulo angustifoliae-Genistenion cinereae Gaultier 1989 nom. ined. et inval.
26.0.3.0.5.2;Lilio pomponii-Artemisenion albae Gaultier 1989 nom. ined.
26.0.3.0.6;Ononidion cenisiae Barbero 1972
26.0.3.0.6.1;Ononidenion cristatae Gaultier 1989 nom. ined. et inval.
26.0.3.0.6.2;Ononido cristatae-Helictotrichenion sempervirentis Gaultier 1989 nom. ined.
26.0.3.0.7;Festucion scopariae Br.-Bl. 1948
27;Festuco-Seslerietea caeruleae Barbero & Bonin 1969
27.0.1;Seslerietalia caeruleae Br.-Bl. in Br.-Bl. & H. Jenny 1926
27.0.1.0.1;Avenion sempervirentis Barbero 1968
27.0.1.0.2;Seslerion caeruleae Br.-Bl. in Br.-Bl. & H. Jenny 1926
27.0.1.0.2.1;Drabo aizoidis-Seslerienion caeruleae Béguin 1972
27.0.1.0.2.2;Seslerienion caeruleae Béguin 1972
27.0.1.0.2.3;Agrostio capillaris-Seslerienion caeruleae Béguin 1972
27.0.1.0.3;Caricion ferrugineae G. Braun-Blanquet & Br.-Bl. 1931
27.0.1.0.4;Primulion intricatae Br.-Bl. ex Vigo 1972
27.0.1.0.5;Laserpitio nestleri-Ranunculion thorae Vigo 1979
28;Filipendulo ulmariae-Convolvuletea sepium Géhu & Géhu-Franck 1987
28.0.1;Convolvuletalia sepium Tüxen 1950 nom. nud.
28.0.1.0.1;Convolvulion sepium Tüxen in Oberdorfer 1957
28.0.1.0.2;Angelicion litoralis Tüxen in Lohmeyer, A. Matuszkiewicz, W. Matuszkiewicz, Merker, Moore, Müller, Oberdorfer, Poli, Seibert, Sukopp, Trautmann, J. Tüxen, Tüxen & Westhoff 1962
28.0.1.0.3;Dorycnion recti Géhu & Biondi 1988
28.0.2;Petasito hybridi-Chaerophylletalia hirsuti Morariu 1967
28.0.2.0.1;Petasition officinalis Sill. 1933
28.0.3;Filipenduletalia ulmariae de Foucault & Géhu ex de Foucault 1984 nom. inval.
28.0.3.0.1;Thalictro flavi-Filipendulion ulmariae de Foucault 2006
28.0.3.0.2;Filipendulo ulmariae-Petasition Br.-Bl. 1949
29;Galio aparines-Urticetea dioicae Passarge ex Kopecký 1969
29.0.1;Galio aparines-Alliarietalia petiolatae Oberdorfer ex Görs & Müller 1969
29.0.1.0.1;Aegopodion podagrariae Tüxen 1967 nom. cons. propos.
29.0.1.0.2;Geo urbani-Alliarion petiolatae Lohmeyer & Oberdorfer ex Görs & Müller 1969
29.0.2;Impatienti noli-tangere-Stachyetalia sylvaticae Boullet, Géhu & Rameau 2004
29.0.2.0.1;Impatienti noli-tangere-Stachyion sylvaticae Görs ex Mucina in Mucina, Grabherr & Ellmauer 1993
3;Agrostietea stoloniferae Th. Müll. & Görs 1969
3.0.1;Potentillo anserinae-Polygonetalia avicularis Tüxen 1947
3.0.1.0.1;Bromion racemosi Tüxen in Tüxen & Preising 1951 nom. nud.
3.0.1.0.2;Alopecurion utriculati Zeidler 1954
3.0.1.0.3;Alopecurion pratensis Passarge 1964
3.0.1.0.4;Loto tenuis-Trifolion fragiferi Westhoff et al. ex de Foucault 2008
3.0.1.0.5;Mentho longifoliae-Juncion inflexi Müller & Görs ex de Foucault 2008
3.0.1.0.6;Potentillion anserinae Tüxen 1947
3.0.2;Eleocharitetalia palustris de Foucault 2008
3.0.2.0.1;Oenanthion fistulosae de Foucault 2008
3.0.2.0.2;Cnidion venosi Balátová 1966
3.0.3;Paspalo distichi-Polypogonetalia semiverticillatae Delpech & Géhu ord. prov.
3.0.3.0.1;Paspalo distichi-Agrostion semiverticillatae Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
30;Glycerio fluitantis-Nasturtietea officinalis Géhu & Géhu-Franck 1987
30.0.1;Nasturtio officinalis-Glycerietalia fluitantis Pignatti 1953
30.0.1.0.1;Glycerio fluitantis-Sparganion neglecti Br.-Bl. & Sissingh in Boer 1942
30.0.1.0.2;Apion nodiflori Segal in Westhoff & den Held 1969
31;Halodulo wrigthii-Thalassietea testudinum Rivas-Martínez, Fernández González & Loidi 1998
31.0.1;Thalassio testudinum-Syringodietalia filiformis Knapp in Borhidi, O. Muñiz & Del Risco 1983
31.0.1.0.1;Syringodio filiformis-Thalassion testudinum Borhidi in Borhidi, O. Muñiz & Del Risco 1983
32;Helianthemetea guttati (Br.-Bl. ex Rivas Goday 1958) Rivas Goday & Rivas-Martínez 1963
32.0.1;Helianthemetalia guttati Br.-Bl. in Br.-Bl., Molinier & Wagner 1940
32.0.1.0.1;Vulpion ligusticae Aubert & Loisel 1971
32.0.1.0.2;Helianthemion guttati Br.-Bl. in Br.-Bl., Molinier & Wagner 1940
32.0.1.0.3;Thero-Airion Tüxen ex Oberdorfer 1957
32.0.2;Malcolmietalia ramosissimae Rivas Goday 1958
32.0.2.0.1;Maresio nanae-Malcolmion ramosissimae (Rivas-Martínez 1978) Rivas-Martínez, Costa & Loidi 1992
32.0.2.0.2;Laguro ovati-Vulpion fasciculatae Géhu & Biondi 1994
33;Honckenyo peploidis-Elymetea arenarii Tüxen 1966
33.0.1;Honckenyo peploidis-Elymetalia arenarii Tüxen 1966
33.0.1.0.1;Honckenyo peploidis-Elymion arenarii Tüxen 1966
33.0.1.0.2;Honckenyo latifoliae-Crambion maritimae Géhu & Géhu-Franck 1969
34;Isoeto durieui-Juncetea bufonii Br.-Bl. & Tüxen ex V. West., Dijk & Passchier 1946
34.0.1;Isoetetalia durieui Br.-Bl. 1936
34.0.1.0.1;Isoetion durieui Br.-Bl. 1936
34.0.1.0.2;Cicendion filiformis (Rivas Goday in Rivas Goday & Borja 1961) Br.-Bl. 1967
34.0.2;Elatino triandrae-Cyperetalia fusci de Foucault 1988
34.0.2.0.1;Helochloion schoenoidis Br.-Bl. ex Rivas Goday, Borja, Monasterio, Galiano & Rivas-Martínez 1956
34.0.2.0.2;Lythrion tribracteati Rivas Goday & Rivas-Martínez ex Rivas Goday 1970
34.0.2.0.3;Elatino triandrae-Eleocharition ovatae (Pietsch & Müll.-Stoll 1968) Pietsch 1969
34.0.3;Nanocyperetalia flavescentis Klika 1935
34.0.3.0.1;Radiolion linoidis Pietsch 1971
34.0.3.0.2;Nanocyperion flavescentis Koch ex Libbert 1932
35;Juncetea maritimi Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
35.0.1;Juncetalia maritimi Br.-Bl. ex Horvati? 1934
35.0.1.0.1;Juncion maritimi Br.-Bl. ex Horvati? 1934
35.0.1.0.1.1;Puccinellienion festuciformis (Géhu & Scoppola in Géhu, Scoppola, Caniglia, Marchiori & Géhu-Franck 1984) Géhu & Biondi 1995 nom. nud.
35.0.1.0.1.2;Juncenion maritimi Géhu & Biondi ex Géhu 2004
35.0.1.0.1.3;Puccinellio festuciformis-Caricenion extensae Géhu & Biondi 1995 nom. nud.
35.0.1.0.2;Halo-Artemision coerulescentis Pignatti 1953
35.0.1.0.3;Plantaginion crassifoliae Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
36;Koelerio glaucae-Corynephoretea canescentis Klika in Klika & V. Novák 1941
36.0.1;Corynephoretalia canescentis Klika 1934
36.0.1.0.1;Corynephorion canescentis Klika 1931
36.0.1.0.2;Armerion junceae Br.-Bl. in Br.-Bl., Roussine & Nègre 1952
36.0.1.0.3;Koelerion glaucae (Volk 1931) Klika 1934
36.0.1.0.4;Sileno conicae-Cerastion semidecandri Korneck 1974
36.0.2;Artemisio lloydii-Koelerietalia albescentis Sissingh 1974
36.0.2.0.1;Koelerion albescentis Tüxen 1937
36.0.2.0.2;Euphorbio portandlicae-Helichrysion staechadis Géhu & Tüxen ex Sissingh 1974
37;Lemnetea minoris O. Bolòs & Masclans 1955
37.0.1;Lemnetalia minoris O. Bolòs & Masclans 1955
37.0.1.0.1;Lemnion minoris O. Bolòs & Masclans 1955
37.0.1.0.2;Lemnion trisulcae Hartog & Segal 1964
37.0.1.0.3;Hydrocharition morsus-ranae Rübel ex Klika in Klika & Hada? 1944
38;Littorelletea uniflorae Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946
38.0.1;Littorelletalia uniflorae Koch 1926
38.0.1.0.1;Littorellion uniflorae Koch 1926
38.0.1.0.2;Lobelion dortmannae (Vanden Berghen 1964) Tüxen & Dierssen in Dierssen 1972
38.0.1.0.3;Elodo palustris-Sparganion Br.-Bl. & Tüxen ex Oberdorfer 1957
38.0.1.0.4;Eleocharition acicularis Pietsch 1967
39;Loiseleurio procumbentis-Vaccinietea microphylli Eggler ex Schubert 1960
39.0.1;Rhododendro ferruginei-Vaccinietalia microphylli Br.-Bl. in Br.-Bl. & H. Jenny 1926
39.0.1.0.1;Arctostaphylo-Cetrarion nivalis Dahl 1956
39.0.1.0.2;Loiseleurio procumbentis-Vaccinion microphylli Br.-Bl. in Br.-Bl. & H. Jenny 1926
39.0.1.0.3;Rhododendro ferruginei-Vaccinion myrtilli A. Schnyd. 1930
39.0.1.0.4;Juniperion nanae Br.-Bl. in Br.-Bl., Sissingh & J. Vlieger 1939
39.0.1.0.5;Ericion carneae Rübel ex Grabherr, Greimler & Mucina in Grabherr & Mucina 1993
4;Alnetea glutinosae Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946
4.0.1;Salicetalia auritae Doing ex Westhoff in Westhoff & den Held 1969
4.0.1.0.1;Salicion cinereae Müller et Görs 1958
4.0.2;Alnetalia glutinosae Tüxen 1937
4.0.2.0.1;Alnion glutinosae Malcuit 1929
4.0.2.0.2;Sphagno-Alnion glutinosae (Doing-Kraft in Maas 1959) Passarge & Hofmann 1968
40;Lygeo sparti-Stipetea tenacissimae Rivas-Martínez 1978 nom. conserv. propos.
40.0.1;Lygeo sparti-Stipetalia tenacissimae Br.-Bl. & O. Bolòs 1958
40.0.1.0.1;Phlomido lychnitidis-Brachypodion retusi G. Mateo 1983
40.0.2;Hyparrhenietalia hirtae Rivas-Martínez 1978
40.0.2.0.1;Saturejo graecae-Hyparrhenion hirtae O. Bolòs 1962
40.0.3;Brachypodietalia phoenicoidis Br.-Bl. ex Molinier 1934
40.0.3.0.1;Brachypodion phoenicoidis Br.-Bl. ex Molinier 1934
41;Melampyro pratensis-Holcetea mollis Passarge 1994
41.0.1;Melampyro pratensis-Holcetalia mollis Passarge 1979
41.0.1.0.1;Potentillo erectae-Holcion mollis Passarge 1979
41.0.1.0.2;Holco mollis-Pteridion aquilini (Passarge 1994) Rameau all. prov. et stat. prov.
41.0.1.0.3;Melampyrion pratensis Passarge 1979
41.0.1.0.4;Conopodio majoris-Teucrion scorodoniae Julve ex Boullet & Rameau 2004
41.0.1.0.5;Melampyro sylvatici-Poion chaixii Julve ex Boullet & Rameau 2004
42;Molinio caeruleae-Juncetea acutiflori Br.-Bl. 1950
42.0.1;Molinietalia caeruleae Koch 1926
42.0.1.0.1;Calthion palustris Tüxen 1937
42.0.1.0.2;Juncion acutiflori Br.-Bl. in Br.-Bl. & Tüxen 1952
42.0.1.0.2.1;Caro verticillati-Juncenion acutiflori de Foucault & Géhu 1980
42.0.1.0.2.2;Anagallido tenellae-Juncenion acutiflori (Br.-Bl. 1967) de Foucault 2008
42.0.1.0.2.3;Serratulo seoanei-Molinienion caeruleae de Foucault 2008
