label
Chasmophile
Psammophile
Hyperxérophile
Xérophile
Mésoxérophile à xérophile
Mésoxérophile
Xérocline à mésoxérophile
Xérocline
Mésophile à xérocline
Mésophile
Hygrocline à mésophile
Hygrocline
Mésohygrophile à hygrocline
Aérohygrophile
Mésohygrophile
Hygrophile à mésohygrophile
Hygrophile
Aquatique benthique
Aquatique lentique
Aquatique lotique
haha
mdr
XPTDR
Salty
