MANAGEMENT
SAMPLING
EXPOSURE
GEOL_SUBST
PEDOLOGY
LIGHTING
SOIL_PH
HYDRO
NUTRIENT
TEMPERATUR
SALINITY
REL_TYPE
PVF1
CLC
CATMINAT
N_2000
CAH_HAB
EUNIS
CORINE
NAT_REGION
