label
Dystrophe
Ombrotrophe
Oligotrophe
Oligotrophe à oligomésotrophe
Oligomésotrophe
Oligomésotrophe à mésotrophe
Mésotrophe
Mésotrophe à mésoeutrophe
Mésoeutrophe
Mésoeutrophe à eutrophe
Eutrophe
Hypereutrophe
Nitrophile
test
