natura_2000_code;label;title_level_eu_code
3260;Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion;Habitat d'intérêt communautaire
3270;Rivières avec berges vaseuses avec végétation du Chenopodion rubri p.p. et du Bidention p.p.;Habitat d'intérêt communautaire
3280;Rivières permanentes méditerranéennes du Paspalo-Agrostidion avec rideaux boisés riverains à Salix et Populus alba;Habitat d'intérêt communautaire
3290;Rivières intermittentes méditerranéennes du Paspalo-Agrostidion;Habitat d'intérêt communautaire
4;Landes et fourrés tempérés;Grand type de milieu 1
4000;Landes et fourrés tempérés;Grand type de milieu 2
4010;Landes humides atlantiques septentrionales à Erica tetralix;Habitat d'intérêt communautaire
4020;Landes humides atlantiques tempérées à Erica ciliaris et Erica tetralix;Habitat d'intérêt communautaire
4030;Landes sèches européennes;Habitat d'intérêt communautaire
4040;Landes sèches atlantiques littorales à Erica vagans;Habitat d'intérêt communautaire
4050;Landes macaronésiennes endémiques;Habitat d'intérêt communautaire
4060;Landes alpines et boréales;Habitat d'intérêt communautaire
4070;Fourrés à Pinus mugo et Rhododendron hirsutum (Mugo-Rhododendretum hirsuti);Habitat d'intérêt communautaire
4080;Fourrés de Salix spp. subarctiques;Habitat d'intérêt communautaire
4090;Landes oroméditerranéennes endémiques à genêts épineux;Habitat d'intérêt communautaire
40A0;Fourrés péripannoniques subcontinentaux;Habitat d'intérêt communautaire
40B0;Taillis de Potentilla fruticosa des Rhodopes;Habitat d'intérêt communautaire
40C0;Taillis caducifoliés ponto-sarmatiques;Habitat d'intérêt communautaire
5;Fourrés sclérophylles (matorrals);Grand type de milieu 1
5100;Fourrés subméditerranéens et tempérés;Grand type de milieu 2
5110;Formations stables xérothermophiles à Buxus sempervirens des pentes rocheuses (Berberidion p.p.);Habitat d'intérêt communautaire
5120;Formations montagnardes à Cytisus purgans;Habitat d'intérêt communautaire
5130;Formations à Juniperus communis sur landes ou pelouses calcaires;Habitat d'intérêt communautaire
5140;Formations à Cistus palhinhae sur landes maritimes;Habitat d'intérêt communautaire
5200;Matorrals arborescents méditerranéens;Grand type de milieu 2
5210;Matorrals arborescents à Juniperus spp.;Habitat d'intérêt communautaire
5220;Matorrals arborescents à Zyziphus;Habitat d'intérêt communautaire
5230;Matorrals arborescents à Laurus nobilis;Habitat d'intérêt communautaire
5300;Fourrés thermoméditerranéens et présteppiques;Grand type de milieu 2
5310;Taillis de Laurus nobilis;Habitat d'intérêt communautaire
5320;Formations basses d'euphorbes près des falaises;Habitat d'intérêt communautaire
5330;Fourrés thermoméditerranéens et prédésertiques;Habitat d'intérêt communautaire
5400;Phryganes;Grand type de milieu 2
5410;Phryganes ouest-méditerranéennes des sommets des falaises (Astralago-Plantaginetum subulatae);Habitat d'intérêt communautaire
5420;Phryganes à Sarcopoterium spinosum;Habitat d'intérêt communautaire
5430;Phryganes endémiques de l'Euphorbio-Verbascion;Habitat d'intérêt communautaire
6;Formations herbeuses naturelles et semi-naturelles;Grand type de milieu 1
6100;Pelouses naturelles;Grand type de milieu 2
6110;Pelouses rupicoles calcaires ou basiphiles de l'Alysso-Sedion albi;Habitat d'intérêt communautaire
6120;Pelouses calcaires de sables xériques;Habitat d'intérêt communautaire
6130;Pelouses calaminaires des Violetalia calaminariae;Habitat d'intérêt communautaire
6140;Pelouses pyrénéennes siliceuses à Festuca eskia;Habitat d'intérêt communautaire
6150;Pelouses boréo-alpines siliceuses;Habitat d'intérêt communautaire
6160;Pelouses oro-ibériques à Festuca indigesta;Habitat d'intérêt communautaire
6170;Pelouses calcaires alpines et subalpines;Habitat d'intérêt communautaire
6180;Pelouses mésophiles macaronésiennes;Habitat d'intérêt communautaire
6190;Pelouses pannoniques rupicoles (Stipo-Festucetalia pallentis);Habitat d'intérêt communautaire
6200;Formations herbeuses sèches semi-naturelles et faciès d'embuissonnement;Grand type de milieu 2
6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);Habitat d'intérêt communautaire
6220;Parcours substeppiques de graminées et annuelles des Thero-Brachypodietea;Habitat d'intérêt communautaire
6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);Habitat d'intérêt communautaire
6240;Pelouses steppiques subpannoniques;Habitat d'intérêt communautaire
6250;Pelouses steppiques pannoniques sur loess;Habitat d'intérêt communautaire
6260;Steppes pannoniques sur sables;Habitat d'intérêt communautaire
6270;Pelouses fennoscandiennes de basse altitude, sèches à mésophiles, riches en espèces;Habitat d'intérêt communautaire
6280;Alvar nordique et roches plates calcaires pré-cambriennes;Habitat d'intérêt communautaire
62A0;Pelouses sèches de la région subméditerranéenne orientale (Scorzoneretalia villosae);Habitat d'intérêt communautaire
62B0;Pelouses serpentinophiles de Chypre;Habitat d'intérêt communautaire
62C0;Steppes ponto-sarmatiques;Habitat d'intérêt communautaire
62D0;Pelouses acidophiles oro-moesiennes;Habitat d'intérêt communautaire
6300;Forêts sclérophylles pâturées (dehesas);Grand type de milieu 2
6310;Dehesas à Quercus spp. sempervirents;Habitat d'intérêt communautaire
6400;Prairies humides semi-naturelles à hautes herbes;Grand type de milieu 2
6410;Prairies à Molinia sur sols calcaires, tourbeux ou argilo-limoneux (Molinion caeruleae);Habitat d'intérêt communautaire
6420;Prairies humides méditerranéennes à grandes herbes du Molinio-Holoschoenion;Habitat d'intérêt communautaire
6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;Habitat d'intérêt communautaire
6440;Prairies alluviales inondables du Cnidion dubii;Habitat d'intérêt communautaire
6450;Prairies alluviales nord-boréales;Habitat d'intérêt communautaire
6460;Pelouses tourbeuses de Troodos;Habitat d'intérêt communautaire
6500;Pelouses mésophiles;Grand type de milieu 2
6510;Prairies maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);Habitat d'intérêt communautaire
6520;Prairies de fauche de montagne;Habitat d'intérêt communautaire
6530;Prairies boisées fennoscandiennes;Habitat d'intérêt communautaire
7;Tourbières hautes, tourbières basses et bas-marais;Grand type de milieu 1
7100;Tourbières acides à sphaignes;Grand type de milieu 2
7110;Tourbières hautes actives;Habitat d'intérêt communautaire
7120;Tourbières hautes dégradées encore susceptibles de régénération naturelle;Habitat d'intérêt communautaire
7130;Tourbières de couverture (* tourbières actives seulement);Habitat d'intérêt communautaire
7140;Tourbières de transition et tremblantes;Habitat d'intérêt communautaire
7150;Dépressions sur substrats tourbeux du Rhynchosporion;Habitat d'intérêt communautaire
7160;Sources riches en minéraux et sources de bas-marais fennoscandiennes;Habitat d'intérêt communautaire
7200;Bas-marais calcaires;Grand type de milieu 2
7210;Marais calcaires à Cladium mariscus et espèces du Caricion davallianae;Habitat d'intérêt communautaire
7220;Sources pétrifiantes avec formation de tuf (Cratoneurion);Habitat d'intérêt communautaire
7230;Tourbières basses alcalines;Habitat d'intérêt communautaire
7240;Formations pionnières alpines du Caricion bicoloris-atrofuscae;Habitat d'intérêt communautaire
7300;Tourbières boréales;Grand type de milieu 2
7310;Tourbières d'Aapa;Habitat d'intérêt communautaire
7320;Tourbières de Palsa;Habitat d'intérêt communautaire
8;Habitats rocheux et grottes;Grand type de milieu 1
8100;Eboulis rocheux;Grand type de milieu 2
8110;Eboulis siliceux de l'étage montagnard à nival (Androsacetalia alpinae et Galeopsietalia ladani);Habitat d'intérêt communautaire
8120;Eboulis calcaires et de schistes calcaires des étages montagnard à alpin (Thlaspietea rotundifolii);Habitat d'intérêt communautaire
8130;Eboulis ouest-méditerranéens et thermophiles;Habitat d'intérêt communautaire
8140;Eboulis est-méditerranéens;Habitat d'intérêt communautaire
8150;Eboulis médio-européens siliceux des régions hautes;Habitat d'intérêt communautaire
8160;Eboulis médio-européens calcaires des étages collinéen à montagnard;Habitat d'intérêt communautaire
8200;Pentes rocheuses avec végétation chasmophytique ;Grand type de milieu 2
8210;Pentes rocheuses calcaires avec végétation chasmophytique;Habitat d'intérêt communautaire
8220;Pentes rocheuses siliceuses avec végétation chasmophytique;Habitat d'intérêt communautaire
8230;Roches siliceuses avec végétation pionnière du Sedo-Scleranthion ou du Sedo albi-Veronicion dillenii;Habitat d'intérêt communautaire
8240;Pavements calcaires;Habitat d'intérêt communautaire
8300;Autres habitats rocheux;Grand type de milieu 2
8310;Grottes non exploitées par le tourisme;Habitat d'intérêt communautaire
8320;Champs de laves et excavations naturelles;Habitat d'intérêt communautaire
8330;Grottes marines submergées ou semi-submergées;Habitat d'intérêt communautaire
8340;Glaciers permanents;Habitat d'intérêt communautaire
9;Forêts;Grand type de milieu 1
9000;Forêts de l’Europe boréale;Grand type de milieu 2
9010;Taïga occidentale;Habitat d'intérêt communautaire
9020;Vieilles forêts caducifoliées naturelles hémiboréales de la Fennoscandie riches en épiphytes (Quercus, Tilia, Acer, Fraxinus ou Ulmus);Habitat d'intérêt communautaire
9030;Forêts naturelles des premières phases de la succession des surfaces émergeantes côtières;Habitat d'intérêt communautaire
9040;Forêts nordiques subalpines/subarctiques à Betula pubescens ssp. czerepanovii;Habitat d'intérêt communautaire
9050;Forêts fennoscandiennes à Picea abies riches en herbes;Habitat d'intérêt communautaire
9060;Forêts de conifères sur, ou relié à, des eskers fluvioglaciaires;Habitat d'intérêt communautaire
9070;Pâturages boisés fennoscandiens;Habitat d'intérêt communautaire
9080;Bois marécageux caducifoliés de Fennoscandie;Habitat d'intérêt communautaire
9100;Forêts de l'Europe tempérée;Grand type de milieu 2
9110;Hêtraies du Luzulo-Fagetum;Habitat d'intérêt communautaire
