DEPARTMENT
COUNTY
LOCALITY
COMMENTS
OTHERINFO
CLIMATE
MOSS_IDENT
LICH_IDENT
ORIGIN_ALLI
ORIGIN_ASS
ORIGIN_SUB
PVF2_ASS
PVF2_SUB
REVIEW_ASS
REVIEW_SUB
REV_SOURCE
REV_NAME
