cah_hab
catminat
clc
corine
coverscale
eunis
exposure
geol_subst
hydro
lighting
loca_method
management
method
n2k
nat_region
nutrient
pedology
protocol
pvf1
pvf2
reference
regime
salinity
sampling
soil_ph
species
stratum
temperatur
type
typus
unit
