label
Alocrisols
Andosols
Anthroposols
Arénosols
Brunisols
sols calciques ou magnesique
Chernosols
Colluviosols
Cryosols
Ferrallitisols et oxydisols
Ferruginosols
Fersialsols
Fluviosols
Grisols
Gypsosols
Histosols
Leptismectisols
Lithosols
Luvisols
Nitosols
Organosols
Pélosols
Peyrosols
Phæosols
Planosols
Podzosols
Rankosols
Réductisols et rédoxisols
Régosols
Salisols et sodisols
Thalassosols
Thiosols et sulfatosols
Veracrisols
Vertisols
