Code CATMINAT;Syntaxon
05/2.0.3.0.1.1/6;Cirsio palustris - Ranunculetum aconitifolii Julve 1993 ex 2006 hoc loco
05/2.0.3.0.1.1/6;Ranunculo aconitifolii - Filipenduletum ulmariae Balátová-Tula?ková & Hübl 1979
05/2.0.3.0.1.1/7;Chaerophyllo hirsuti - Ranunculetum aconitifolii Oberdorfer 1952
05/2.0.3.0.1.2;Aconito napellii - Cirsienion oleracei Julve 2011 suball nov. prov. hoc loco
05/2.0.3.0.1.2/1;Thalictro flavi - Filipenduletum ulmariae Tüxen & Hülbusch apud Richard 1975
05/2.0.3.0.1.2/2;Ranunculo aconitifolii - Filipenduletum ulmariae Balátová-Tula?ková & Hübl 1979
05/2.0.3.0.1.2/2;Valeriano officinalis - Cirsietum oleracei Guinochet 1955 [var. à Athyrium filix-femina & Calamagrostis canescens]
05/2.0.3.0.1.2/3;Aconito napelli - Filipenduletum ulmariae Gallandat 1982
05/2.0.3.0.1.2/3;Chaerophyllo hirsuti - Polygonetum bistortae Hundt 1964
05/2.0.3.0.1.2/3;Trollio europaei - Filipenduletum ulmariae (Klötzli 1973) Balátová-Tula?ková 1984
05/2.0.3.0.1.2/3;Trollio europaei - Polygonetum bistortae Niemann (1962) 1964
05/2.0.3.0.1.2/3;Trollio europaei - Cirsietum oleracei sensu Schubert, Hilbig & Klotz 1995
05/2.0.3.0.1.2/3;Polemonio caerulei - Filipenduletum ulmariae Richard 1972
05/2.0.3.0.1.2/3;Polemonio caerulei - Filipenduletum ulmariae Richard 1973
05/2.0.3.0.1.2/3;Valeriano officinalis - Polemonietum caerulei Rosskopf 1971
05/2.0.3.0.1.2/3;Trollio europaei - Cirsietum rivularis (Kuhn 1937) Oberdorfer 1957
05/2.0.3.0.1.2/3;Angelico sylvestris - Aconitetum napelli Guinochet 1955 [aconitetosum napelli]
05/2.0.3.0.1.2/4;Aconito napelli - Chaerophylletum hirsuti Gallandat 1982
05/2.0.3.0.1.2/4;Petasito hybridi - Menthetum longifoliae Guinochet 1955
05/2.0.3.0.1.2/4;Valeriano officinalis - Cirsietum oleracei Guinochet 1955 [var. à Geranium sylvaticum + var. à Crepis paludosa]
05/2.0.3.0.1.2/5;Angelico razulii - Filipenduletum ulmariae (Nègre 1972) Julve 2006 ass. nov. hoc loco
05/2.0.3.0.1.2/5;Filipendulo ulmariae - Alnetum glutinosae Nègre 1972
05/2.0.3.0.1.2/6;Ranunculo acris - Filipenduletum ulmariae Vigo 1975
05/2.0.3.0.1.2/7;Cirsio monspessulani - Filipenduletum ulmariae Romo 1983
05/2.0.3.0.1.2/8;Chaerophyllo hirsuti - Valerianetum pyrenaicae Vigo & Carreras in Carreras & Vigo 1984
05/2.0.3.0.1.2/8;Chaerophyllo aurei - Valerianetum pyrenaicae Rivas-Martínez, Diaz-Gonzalez, Fernandez-Prieto, Loidi-Arregui & Penas-Marinas 1984
05/2.0.3.0.1.2/8;Chaerophyllo hirsuti - Valerianetum pyrenaicae Rivas-Martínez, Diaz-Gonzalez, Fernandez-Prieto, Loidi-Arregui & Penas-Marinas 1984 corr. Izco & J. Guitián in Izco, Amigo & J. Guitián 1986 
05/2.0.3.0.2;Petasition hybridi Sillinger 1933
05/2.0.3.0.2;Petasito hybridi - Chaerophyllion hirsuti Sillinger 1933 em. Niemann, Heinrich & Hilbig 1973
05/2.0.3.0.2;Aegopodion podagrariae Tüxen 1967
05/2.0.3.0.2/01;Chaerophyllo hirsuti - Petasitetum hybridi Gams apud Hegi 1929
05/2.0.3.0.2/01;Carduo personatae - Petasitetum hybridi Oberdorfer 1957
05/2.0.3.0.2/01;Geranio phaei - Petasitetum hybridi Tüxen 1967
05/2.0.3.0.2/01;Petasitetum hybridi - glabrati Sillinger 1933
05/2.0.3.0.2/01;Chaerophyllo hirsuti - Petasitetum hybridi Gams apud Hegi 1929 ex Görs & Müller 1969
05/3.;Phragmito australis - Caricetea elatae Klika in Klika & Novák 1941
05/3.;Phragmitetea australis Tüxen & Preising 1942
05/3.0.1;Phragmitetalia australis Koch 1926 em. Pignatti 1953
05/3.0.1;Phragmitetea australis Tüxen & Preising 1942 em. Passarge 1999
05/3.0.1;Phragmitetalia australis Tüxen & Preising 1942
05/3.0.1;Phragmitetalia australis (Pignatti 1953) Succow 1974
05/3.0.1;Carici elatae - Phragmitetalia australis (Pignatti 1953) Succow 1974
05/3.0.1;Phragmitetalia australis Koch 1926
05/3.0.1;Oenanthetalia aquaticae Hejný in Kopecký & Hejný 1965
05/3.0.1.0.1;Phragmition australis Koch 1926
05/3.0.1.0.1;Phragmitenion australis Rivas-Martínez, Fernández-González, Loidi, Lousã & Penas 2001
05/3.0.1.0.1;Phragmition australis Tüxen & Preising 1942
05/3.0.1.0.1;Phalarido arundinaceae - Glycerion maximae Passarge 1964
05/3.0.1.0.1;Stachyo palustris - Phragmition australis Succow 1974
05/3.0.1.0.1;Phragmition australis (Koch 1926) Succow 1974
05/3.0.1.0.1/01;Typho angustifoliae - Schoenoplectetum lacustris Passarge 1964
05/3.0.1.0.1/01;Schoenoplectetum lacustris (Allorge 1922) Chouard 1924
05/3.0.1.0.1/01;Schoenoplectetum lacustris Chouard 1925
05/3.0.1.0.1/01;Schoenoplectetum lacustris Schmale 1939
05/3.0.1.0.1/01;Glycerio maximae - Schoenoplectetum lacustris Allorge 1922
05/3.0.1.0.1/01;Schoenoplecto lacustris - Phragmitetum australis Koch 1926
05/3.0.1.0.1/01;Typho angustifoliae - Phragmitetum australis Tüxen & Preising 1942
05/3.0.1.0.1/02;Solano dulcamarae - Phragmitetum australis (Krausch 1965) Succow 1974 ex Krisch 1974
05/3.0.1.0.1/02;Phragmitetum australis Schmale 1939
05/3.0.1.0.1/02;Phragmitetum australis von Soó 1927
05/3.0.1.0.1/02;Calystegio sepium - Phragmitetum australis Royer, Thévenin & Didier in Royer, Felzines, Misset & Thévenin 2006
05/3.0.1.0.1/02;Angelico sylvestris - Phragmitetum australis Wheeler 1978 prov.
05/3.0.1.0.1/02;Astero tripolii - Phragmitetum australis (Jeschke 1968) Krisch 1972 [solanetosum dulcamarae]
05/3.0.1.0.1/02;Schoenoplecto lacustris - Phragmitetum australis Koch 1926 [solanetosum dulcamarae pp, var. type pp, in Krausch 1965]
05/3.0.1.0.1/02;Solano dulcamarae - Phragmitetum australis (Krausch 1965) Succow 1974
05/3.0.1.0.1/03;Irido pseudacori - Phalaridetum arundinaceae Julve 1994
05/3.0.1.0.1/03;Iridetum pseudacori Eggler 1933 ex Brzeg & Wojterska 2001
05/3.0.1.0.1/04;Sparganio erecti - Typhetum latifoliae Schmidt 1981
05/3.0.1.0.1/04;Sparganio erecti - Typhetum latifoliae Schmidt 1981 ex Passarge 1999
05/3.0.1.0.1/04;Sparganietum erecti Philippi 1973
05/3.0.1.0.1/04;Sparganietum erecti Roll 1938
05/3.0.1.0.1/04;Typhetum latifoliae Lang 1973
05/3.0.1.0.1/04;Typhetum latifoliae Nowinski 1930
05/3.0.1.0.1/04;Typhetum latifoliae Pignatti 1953
05/3.0.1.0.1/04;Glycerio maximae - Schoenoplectetum lacustris Allorge 1922
05/3.0.1.0.1/04;Schoenoplecto lacustris - Phragmitetum australis Koch 1926
05/3.0.1.0.1/04;Typhetum angustifolio - latifoliae (Allorge 1922) Schmale 1939
05/3.0.1.0.1/05;Glycerietum maximae Hueck 1931
05/3.0.1.0.1/05;Bidenti - Glycerietum maximae Succow 1974
05/3.0.1.0.1/05;Glycerietum maximae Nowinski 1930
05/3.0.1.0.1/05;Acoretum calami (Eggler 1933) Schulz 1941
05/3.0.1.0.1/05;Acoretum calami Knapp & Stoffers 1962
05/3.0.1.0.1/05;Acoretum calami Eggler 1933
05/3.0.1.0.1/05;Glycerio maximae - Schoenoplectetum lacustris Allorge 1922
05/3.0.1.0.1/06;Typho domingensis - Phragmitetum australis subsp. chrysanthae Costa, Boira, Peris & Stübing 1986 corr. Julve 2010 hoc loco
05/3.0.1.0.1/06;Schoenoplecto - Phragmitetum Braun-Blanquet 1931 [subass. à Phragmites australis subsp. chrysantha]
05/3.0.1.0.1/07;Poo palustris - Phalaridetum arundinaceae (Libbert 1931) Passarge 1955
05/3.0.1.0.1/07;Urtico dioicae - Phalaridetum arundinaceae Schmidt 1981
05/3.0.1.0.1/07;Rorippo sylvestris - Phalaridetum arundinaceae Kopecký 1961
05/3.0.1.0.1/07;Phalaridetum arundinaceae (Koch 1926) Libbert 1931
05/3.0.1.0.1/07;Phalarido arundinaceae - Bolboschoenetum laticarpi Passarge 1999 corr. Krumbiegel 2006
05/3.0.1.0.1/07;Phalarido arundinaceae - Bolboschoenetum laticarpi Zonneveld 1960
05/3.0.1.0.1/07;Phalarido arundinaceae - Bolboschoenetum laticarpi Vahle in Preising, Vahle, Brandes, Hofmeister, J.Tüxen & Weber 1990
05/3.0.1.0.2;Oenanthion aquaticae Hejný 1948 ex Neuhäusl 1959
05/3.0.1.0.2;Oenanthion aquaticae Hejný 1948 apud Kopecký & Hejný 1965
05/3.0.1.0.2;Bolboschoenenion Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo, Valdès 1980
05/3.0.1.0.2;Cirsio brachycephali - Bolboschoenenion (von Soó 1947) Passarge 1978 
05/3.0.1.0.2;Cirsio brachycephali - Bolboschoenion Balátová-Tulácková, Mucina, Ellmauer & Wallnöfer in Mucina & Grabherr 1993 
05/3.0.1.0.2;Eleocharito palustris - Sagittarion sagittifoliae Passarge 1964
05/3.0.1.0.2;Equisetion fluviatilis Passarge 1999
05/3.0.1.0.2/01;Sagittario sagittifoliae - Sparganietum emersi Tüxen 1953
05/3.0.1.0.2/01;Butometum umbellati (Konczak 1968) Philippi 1973
05/3.0.1.0.2/01;Butometum umbellati Konczak 1968
05/3.0.1.0.2/02;Oenantho aquaticae - Rorippetum amphibiae Lohmeyer 1950
05/3.0.1.0.2/02;Glycerio fluitantis - Oenanthetum aquaticae (Eggler 1933) Hejný 1948
05/3.0.1.0.2/03;Eleocharito palustris subsp. waltersii - Hippuridetum vulgaris var. terrestris Passarge (1955) 1964
05/3.0.1.0.2/03;Eleocharitetum palustris subsp. waltersii (Ubrizsý 1948) Julve 2004 ass. nov. hoc loco
05/3.0.1.0.2/03;Eleocharitetum palustris subsp. waltersii Schennikow 1919
05/3.0.1.0.2/03;Eleocharitetum palustris Ubrizsý 1948
05/3.0.1.0.2/03;Hippuridetum vulgaris var. terrestris Passarge 1955
05/3.0.1.0.2/03;Hippuridetum vulgaris var. fluviatilis Rübel 1912
05/3.0.1.0.2/03;Alismato - Eleocharitetum palustris Máthé & Kovács in Kovács & Máthé 1967
05/3.0.1.0.2/04;Alismato plantagini-aquaticae - Sparganietum erecti subsp. neglecti Passarge 1983
05/3.0.1.0.2/04;Butomo umbellati - Alismatetum plantaginis-aquaticae (Slavnic 1948) Hejny in Dykyjova & Kvet 1978
05/3.0.1.0.2/04;Glycerio - Sparganietum erecti subsp. neglecti Koch 1926 em. Philippi 1973
05/3.0.1.0.2/04;Glycerio - Sparganietum erecti subsp. neglecti Koch 1926
05/3.0.1.0.2/04;Butomo umbellati - Alismatetum lanceolati Timár 1947
05/3.0.1.0.2/05;Sio latifolii - Equisetetum fluviatilis Julve 2006 ass. nov. hoc loco
05/3.0.1.0.2/05;Alismato plantagini-aquaticae - Equisetetum fluviatilis Passarge 1999
05/3.0.1.0.2/05;Phragmito australis - Equisetetum fluviatilis Passarge (1965) 1999
05/3.0.1.0.2/05;Sietum latifolii Passarge 1999
05/3.0.1.0.2/06;Bolboschoenetum yagarae Eggler 1933 corr. Hroudovà, Hrivnak & Chytry 2009
05/3.0.1.0.2/06;Bolboschoenetum yagarae Eggler 1933
05/3.0.1.0.2/06;Bolboschoenetum yagarae Julve 2010 ass. nov. hoc loco
05/3.0.1.0.2/06;Persicario lapathifoliae - Bolboschoenetum yagarae Duvigneaud 1988
05/3.0.1.0.2/07;Oenantho aquaticae - Bolboschoenetum laticarpi (Krumbiegel 2006) Zumbiehl 2012 ass. nov. hoc loco
05/3.0.1.0.2/08;Helosciadio nodiflori - Eleocharitetum bonariensis Géhu & Géhu-Franck 1972
05/3.0.1.0.2/08;Helosciadio nodiflori - Eleocharitetum bonariensis Géhu 1972
05/3.0.1.0.2/09;Schoenoplecto tabernaemontani - Bolboschoenetum glauci Julve, Delplanque, Farvacques & Zumbiehl 2013 ass. nov. hoc loco
05/3.0.1.0.3;Imperato cylindricae - Erianthion ravennae Braun-Blanquet & de Bolòs 1958
05/3.0.1.0.3/01;Equiseto ramosissimi - Erianthetum ravennae Braun-Blanquet & de Bolòs 1958
05/3.0.1.0.3/01;Equiseto ramosissimi - Imperatetum cylindricae Ron in Bellot, Ron & Carballal 1979
05/3.0.1.0.3/01;Imperato cylindricae - Erianthetum ravennae René Molinier & Tallon 1965
05/3.0.1.0.3/02;Bolboschoenetum glauci Julve 2010 ass. nov. hoc loco
05/3.0.1.0.3/03;Cyperetum esculenti Wisskirchen 1995
05/3.0.1.0.4;Bolboschoenion maritimi Dahl & Hadà? 1941
05/3.0.1.0.4;Bolboschoenetalia maritimi Dahl & Hadà? 1941
05/3.0.1.0.4;Bolboschoenetalia maritimi Hejný in Holub, Hejný, Moravec & Neuhäusl 1967
05/3.0.1.0.4;Bolboschoenetea maritimi Tüxen & Vicherek in Tüxen & Hülbusch 1971
05/3.0.1.0.4;Phragmition australis Braun-Blanquet 1931
05/3.0.1.0.4;Bolboschoenion maritimi - littoralis Rivas-Martínez in Rivas-Martínez, Costa, Castroviejo, Valdès 1980
05/3.0.1.0.4;Phragmition australis (Koch 1926) Succow 1974
05/3.0.1.0.4/01;Bolboschoeno maritimi - Schoenoplectetum tabernaemontani Bueno & Fernández Prieto in Bueno 1997
05/3.0.1.0.4/01;Astero tripolii - Bolboschoenetum maritimi (Dahl & Hadà? 1941) Passarge 1999
05/3.0.1.0.4/01;Bolboschoenetum maritimi (van Langendonck 1931) Beeftink 1957
05/3.0.1.0.4/01;Bolboschoenetum maritimi Dahl & Hadà? 1941
05/3.0.1.0.4/01;Bolboschoenetum maritimi van Langendonck 1931
05/3.0.1.0.4/01;Bolboschoenetum maritimi (Christiansen 1934) Tüxen 1937
05/3.0.1.0.4/01;Cochleario aestuariae - Bolboschoenetum maritimi Bioret, Géhu & Magnanon 1995
05/3.0.1.0.4/01;Phragmiti australis - Bolboschoenetum maritimi Tyler 1969
05/3.0.1.0.4/01;Schoenoplectetum tabernaemontani Passarge 1964
05/3.0.1.0.4/01;Schoenoplectetum tabernaemontani von Soó (1927) 1949
05/3.0.1.0.4/01;Schoenoplectetum tabernaemontani von Soó 1947
05/3.0.1.0.4/01;Schoenoplectetum tabernaemontani von Soó 1962
05/3.0.1.0.4/01;Schoenoplecto tabernaemontani - Bolboschoenetum maritimi (Christiansen 1934) Passarge 1999
05/3.0.1.0.4/01;Schoenoplecto triquetri - Bolboschoenetum maritimi Zonneveld 1960
05/3.0.1.0.4/01;Astero tripolii - Phragmitetum australis (Jeschke 1968) Krisch 1972 [bolboschoenetosum]
05/3.0.1.0.4/01;Schoenoplecto lacustris - Phragmitetum australis Koch 1926
05/3.0.1.0.4/01;Bolboschoeno maritimi - Phragmitetum australis Borhidi & Balogh in Borhidi 1970
05/3.0.1.0.4/01;Schoenoplectetum triquetri Zonneveld 1955 correx. et em. Géhu & Biondi 1988
05/3.0.1.0.4/01;Schoenoplectetum triquetri Zonneveld 1955
05/3.0.1.0.4/02;Schoenoplecto pungentis - Bolboschoenetum maritimi (Braun-Blanquet, Roussine & Nègre 1952) Julve 2005 ass. nov. hoc loco
05/3.0.1.0.4/02;Typho - Schoenoplectetum tabernaemontani Braun-Blanquet & O. de Bolòs 1958
05/3.0.1.0.4/02;Bolboschoenetum maritimi Braun-Blanquet 1931 ex Braun-Blanquet, Roussine & Nègre 1952
05/3.0.1.0.4/02;Puccinellio festuciformis - Bolboschoenetum maritimi (Pignatti 1953) Géhu & Scoppola in Géhu, Scoppola, Caniglia, Marchiori & Géhu-Franck 1984
05/3.0.1.0.4/02;Bolboschoenetum maritimi Braun-Blanquet 1931
05/3.0.1.0.4/02;Bolboschoeno maritimi - Schoenoplectetum litoralis (Braun-Blanquet, Roussine & Nègre 1952) O. de Bolòs 1962
05/3.0.1.0.4/03;Astero tripolii - Phragmitetum australis Krisch 1974
05/3.0.1.0.4/03;Bolboschoeno maritimi - Phragmitetum australis Bueno & Fernández Prieto in Bueno 1997
05/3.0.1.0.4/03;Junco maritimi - Phragmitetum australis Izco & J.-M. Sánchez 1997
05/3.0.1.0.4/03;Astero tripolii - Phragmitetum australis (Jeschke 1968) Succow 1974
05/3.0.1.0.4/03;Astero tripolii - Phragmitetum australis (Jeschke 1968) Krisch 1972 [typicum, galietosum, excl. solanetosum, bolboschoenetosum]
05/3.0.1.0.4/04;Bolboschoeno maritimi - Phragmitetum australis subsp. chrysanthae (Braun-Blanquet 1931) Julve 2005 ass. nov. hoc loco
05/3.0.1.0.4/04;Schoenoplecto lacustris - Phragmitetum australis Tüxen & Preising 1942 phragmitetosum australis subsp. chrysanthi
05/3.0.1.0.4/04;Bolboschoenetum maritimi Braun-Blanquet 1931 apud Braun-Blanquet, Roussine & Nègre 1952
05/3.0.1.0.4/04;Schoenoplecto lacustris - Phragmitetum australis Tüxen & Preising 1942
05/3.0.1.0.4/04;Typho angustifoliae - Phragmitetum australis (Tüxen & Preising 1942) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991
05/3.0.1.0.4/04;Schoenoplecto lacustris - Phragmitetum Braun-Blanquet in Braun-Blanquet, Roussine & Nègre 1952 
05/3.0.1.0.4/05;Bolboschoeno maritimi - Juncetum subulati Géhu, Biondi, Géhu-Franck & Costa 1992
05/3.0.1.0.4/06;Soncho maritimi - Cladietum marisci (Braun-Blanquet & O. de Bolòs 1957) Cirujano 1980
05/3.0.1.0.4/06;Junco maritimi - Cladietum marisci (Braun-Blanquet & O. de Bolòs 1957) Géhu & Biondi 1988
05/3.0.1.0.4/06;Cladietum marisci Braun-Blanquet & O. de Bolòs 1957
05/3.0.1.0.4/07;Typhetum laxmannii (Ubriszy 1961) Nedelcu 1968
05/3.0.2;Caricetalia elatae Pignatti 1953
05/3.0.2;Caricetalia elatae Pignatti 1954
05/3.0.2;Phragmito australis - Caricetea elatae Klika in Klika & Novák 1941 em. Passarge 1999
05/3.0.2;Carici elatae - Phragmitetalia australis (Pignatti 1953) Succow 1974
05/3.0.2.0.1;Caricion elatae Koch 1926
05/3.0.2.0.1;Caricenion appropinquatae Balátová-Tula?ková 1960
05/3.0.2.0.1;Caricenion elatae (Koch 1926) Balátová-Tula?ková 1976
05/3.0.2.0.1;Caricenion rostratae (Balátová-Tula?ková 1963) Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967
05/3.0.2.0.1;Caricion rostratae (J. Duvigneaud 1958) Balátová-Tula?ková 1963
05/3.0.2.0.1;Calliergonello cuspidatae - Caricion elatae (Trass 1963) Succow 1974
05/3.0.2.0.1;Scorpidio scorpioidis - Cladion marisci (Braun 1968) Succow 1974
05/3.0.2.0.1;Carici pseudocyperi - Rumicion hydrolapathi Passarge 1964
05/3.0.2.0.1;Cicution virosae (Hejný 1962) Succow 1974
05/3.0.2.0.1;Cicution virosae Hejný 1962 ex Segal in Westhoff et Den Held 1969
05/3.0.2.0.1;Cicution virosae Hejný 1960
05/3.0.2.0.1;Cladenion marisci Braun 1968
05/3.0.2.0.1;Phragmition australis Succow 1974
05/3.0.2.0.1;Equisetion fluviatilis Passarge 1999
05/3.0.2.0.1;Caricenion pseudocyperi Borhidi 2001
05/3.0.2.0.1/01;Cicuto virosae - Caricetum pseudocyperi Boer & Sissingh in Boer 1942
05/3.0.2.0.1/01;Cicuto virosae - Caricetum pseudocyperi (Boer & Sissingh in Boer 1942) Succow 1974
05/3.0.2.0.1/01;Calletum palustris (Osvald 1923) Vanden Berghen 1952
05/3.0.2.0.1/01;Cicuto virosae - Calletum palustris (Vanden Berghen 1952) Schaminée & Weeda in Schaminée, Weeda & Westhoff 1995
05/3.0.2.0.1/01;Cicuto virosae - Phragmitetum australis Wheeler 1978
05/3.0.2.0.1/01;Carici pseudocyperi - Menyanthetum trifoliatae von Soó 1955
05/3.0.2.0.1/02;Caricetum elatae Koch 1926
05/3.0.2.0.1/02;Eupatorio cannabini - Caricetum elatae Biurrun, J.A. Molina & Loidi in Biurrun 1999
05/3.0.2.0.1/03;Caricetum vesicariae Braun-Blanquet & Denis 1926
05/3.0.2.0.1/03;Caricetum rostrato - vesicariae Koch 1926
05/3.0.2.0.1/03;Caricetum vesicariae Chouard 1924
05/3.0.2.0.1/03;Caricetum vesicariae Rübel 1933
05/3.0.2.0.1/04;Caricetum appropinquatae Koch 1926 ex von Soó 1938
05/3.0.2.0.1/04;Sphagno - Caricetum appropinquatae (Smarda 1948) Rybnicek 1974
05/3.0.2.0.1/05;Thelypterido palustris - Phragmitetum australis Kuiper 1957 em. Segal & Westhoff in Westhoff & den Held 1969
05/3.0.2.0.1/06;Thysselino palustris - Calamagrostietum canescentis Weber 1978
05/3.0.2.0.1/06;Calamagrostietum canescentis Simon 1960
05/3.0.2.0.1/06;Cirsio palustris - Calamagrostietum canescentis Passarge 1984
05/3.0.2.0.1/06;Junco subnodulosi - Calamagrostietum canescentis Korneck 1963
05/3.0.2.0.1/06;Lathyro palustris - Lysimachietum vulgaris Passarge 1978
05/3.0.2.0.1/06;Thysselino palustris - Phragmitetum palustris Wheeler 1978
05/3.0.2.0.1/06;Carici elatae - Calamagrostietum canescentis Jílek 1958
05/3.0.2.0.1/06;Calamagrostietum canescentis Hada? in B?ezina et al. 1963
05/3.0.2.0.1/07;Thelypterido palustris - Caricetum elongatae Julve & Gillet 1994 prov. 
05/3.0.2.0.1/08;Menyantho trifoliatae - Equisetetum fluviatilis Wattez 1968
05/3.0.2.0.1/08;Equisetetum fluviatilis Steffen 1931
05/3.0.2.0.1/08;Equiseto fluviatilis - Menyanthetum trifoliatae (Krisch 1974) Passarge 1999
05/3.0.2.0.1/09;Cladietum marisci Allorge 1922
05/3.0.2.0.1/09;Cladietum marisci (Allorge 1922) Zobrist 1935
05/3.0.2.0.1/09;Cladietum marisci Zobrist 1935 em. Pfeiffer 1961
05/3.0.2.0.1/09;Cladietum marisci Succow 1974
05/3.0.2.0.1/09;Carici elatae - Cladietum marisci Passarge (1964) 1978
05/3.0.2.0.1/09;Cladio marisci - Molinietum caeruleae Wheeler 1980
05/3.0.2.0.1/09;Phragmiti australis - Cladietum marisci von Soó 1930
05/3.0.2.0.1/10;Cicuto virosae - Caricetum paniculatae Succow 1974 ex Jeschke & Müther 1978
05/3.0.2.0.1/10;Dactylorhizo majalis - Caricetum paniculatae Carreras & Vigo 1984
05/3.0.2.0.1/10;Eriophoro latifoliae - Caricetum paniculatae O. de Bolòs & Vives in O. de Bolòs 1956 nom. inv.
05/3.0.2.0.1/10;Caricetum paniculatae Wangerin 1916
05/3.0.2.0.1/10;Caricetum paniculatae Wangerin 1916 ex von Rochow 1951
05/3.0.2.0.1/10;Rumici hydrolapathi - Caricetum paniculatae Succow 1988
05/3.0.2.0.1/11;Caricetum ripario - acutiformis Kobendza 1930
05/3.0.2.0.1/11;Galio palustris - Caricetum ripariae Balátová-Tula?ková, Mucina, Ellmauer & Wallnöfer in Mucina & Grabherr 1993
05/3.0.2.0.1/11;Caricetum acutiformi - ripariae von Soó (1938) 1947
05/3.0.2.0.1/11;Caricetum acutiformis Eggler 1933
05/3.0.2.0.1/11;Caricetum acutiformis Sauer 1937
05/3.0.2.0.1/11;Caricetum ripariae (von Soó 1928) Knapp & Stoffers 1962
05/3.0.2.0.1/11;Caricetum ripariae Jasnowski 1962 prov. 
05/3.0.2.0.1/11;Caricetum ripariae von Soó 1928
05/3.0.2.0.1/11;Ranunculo linguae - Caricetum acutiformis Julve & Gillet 1994 prov. 
05/3.0.2.0.1/12;Rumici hydrolapathi - Caricetum rostratae (Tüxen 1937) Passarge 1999
05/3.0.2.0.1/12;Sparganio erecti - Caricetum rostratae (Jeschke & Müther 1978) Passarge 1999
05/3.0.2.0.1/13;Cicuto virosae - Equisetetum fluviatilis Julve 2006 ass. nov. hoc loco
05/3.0.2.0.1/13;Potentillo palustris - Equisetetum fluviatilis Julve in Julve, Brunhes & Miouze 1989 prov.
05/3.0.2.0.1/14;Caricetum elatae var. dissolutae (Braun 1968) Julve 2007 ass. nov. hoc loco
05/3.0.2.0.1/14;Schoeno ferruginei - Caricetum elatae var. dissolutae Braun 1968 em. Julve 1993 prov. 
05/3.0.2.0.1/14;Scorpidio scorpioidis - Caricetum elatae var. dissolutae Braun 1968
05/3.0.2.0.1/15;Phragmito australis - Caricetum paniculatae Lavagne 2006
05/3.0.2.0.1/16;Cladio marisci - Caricetum hispidae O. de Bolòs 1967
05/3.0.2.0.1/17;Caricetum buxbaumii Issler 1932
05/3.0.2.0.2;Caricion acutae (J. Duvigneaud 1958) Balátová-Tula?ková 1963
05/3.0.2.0.2;Caricenion acuto - vulpinae Balátová-Tula?ková 1960
05/3.0.2.0.2;Caricenion acuto - vulpinae Balátová-Tula?ková 1976
05/3.0.2.0.2;Caricion acutae Neuhäusl 1959
05/3.0.2.0.2;Caricion acutae Neuhäusl 1959 em. Balátová-Tulácková 1963
05/3.0.2.0.2;Caricion acutae Géhu 1961
05/3.0.2.0.2/01;Caricetum acutae Almquist 1929
05/3.0.2.0.2/01;Caricetum acutae (Graebner & Hueck 1931) Tüxen 1937
05/3.0.2.0.2/01;Caricetum acuto - vesicariae (Koch 1926) Westhoff 1949
05/3.0.2.0.2/01;Carici acutae - Phalaridetum arundinaceae (Kovács & Máthé 1967) von Soó 1971
05/3.0.2.0.2/02;Leucojo aestivi - Caricetum ripariae Braun-Blanquet (1931) 1936
05/3.0.2.0.2/02;Leucojo aestivi - Caricetum elatae Braun-Blanquet 1931
05/3.0.2.0.2/03;Eupatorio cannabinae - Caricetum paniculatae (Tüxen 1962) Passarge 1999
05/3.0.2.0.2/03;Caricetum paniculatae Wangerin 1916
05/3.0.2.0.2/03;Caricetum paniculatae Wangerin 1916 ex von Rochow 1951
05/3.0.2.0.2/04;Cirsio rivularis - Caricetum paniculatae Nègre 1972 
05/3.0.2.0.2/05;Rorippo amphibiae - Caricetum acutae Zumbiehl 2012 ass. nov. hoc loco
05/3.0.2.0.2/05;Glycerio maximae - Caricetum acutae Passarge 1999
05/3.0.2.0.2/06;Caricetum cespitosae (Cajander 1905) Steffen 1931
05/3.0.2.0.2/07;BC Iris pseudacorus [Caricion acutae]
05/3.0.2.0.2/07;Iridetum pseudacori Eggler 1933 ex Brzeg & Wojterska 2001
06/1.;Scheuchzerio palustris - Caricetea nigrae (Nordhagen 1936) Tüxen 1937 em. Julve 1999
06/1.;Sphagno - Caricetea nigrae P. Duvigneaud 1943
06/1.;Caricetalia nigrae Nordhagen 1936
06/1.;Caricetea nigrae (Nordhagen 1936) Braun-Blanquet & Vlieger in Vlieger 1937
06/1.;Caricetea nigrae subsp. nigrae den Held & Westhoff in Westhoff & den Held 1969 em. de Foucault 1984
06/1.;Caricetea nigrae Westhoff in Westhoff & Den Held 1969
06/1.;Molinio caeruleae - Caricetalia nigrae P. Duvigneaud 1949
06/1.;Molinio caeruleae subsp. caeruleae - Caricetea nigrae subsp. nigrae Julve 1983
06/1.;Scheuchzerio palustris - Caricetea nigrae (Nordhagen 1936) Tüxen 1937
06/1.;Trichophoretea cespitosi Trass 1963
06/1.;Molinietalia caeruleae Koch 1926
06/1.;Molinietalia caeruleae Rübel 1933
06/1.1;Molinio caeruleae subsp. caeruleae - Caricenea nigrae subsp. nigrae (Julve 1983) de Foucault 1984
