NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T3151_1;Daucus carota L.;;+;94503
T3151_1;Arabis hirsuta (L.) Scop.;;+;83332
T3151_1;Euphorbia spinosa L.;;+;97673
T3151_1;Arisarum vulgare Targ. -tozz.;;2;83755
T3151_1;Brachypodium retusum (Pers.) Beauv.;;2;86297
T3151_1;Galium mollugo L.;;+;99473
T3151_1;Inula conyza Dc.;;+;103608
T3151_1;Amelanchier ovalis Medicus;;1;82103
T3151_1;Convolvulus althaeoides L.;;+;92297
T3151_1;Galium rubrum L.;;1;192690
T3151_1;Asparagus acutifolius L.;;1;84264
T3151_1;Centranthus ruber (L.) Dc.;;1;89888
T3151_1;Daphne gnidium L.;;+;94427
T3151_1;Antirrhinum majus L.;;+;83058
T3151_1;Erysimum helveticum (Jacq.) Dc.;;+;97215
T3151_1;Euphorbia dendroides L.;;1;97492
T3151_1;Geranium robertianum L.;;1;100142
T3151_1;Aetheorhiza bulbosa (L.) Cass.;;1;80340
T3151_1;Centaurea paniculata L.;;+;89659
T3151_1;Avenula bromoides (Gouan) H. Scholz;;+;85431
T3151_1;Centaurea aspera L.;;+;89525
T3151_1;Carex hallerana Asso;;+;88560
T3151_1;Hedera helix L.;;1;100787
T3151_1;Leucoium hiemale;;+;194083
T3151_1;Clematis flammula L.;;1;91867
T3151_1;Asplenium adiantum-nigrum L.;;1;84458
T3151_1;Asplenium ruta-muraria L.;;1;84521
T3151_1;Asplenium trichomanes L.;;+;84534
T3151_1;Brachypodium phoenicoides (L.) Roemer & Schultes;;1;86288
T3151_1;Fraxinus ornus L.;;1;98933
T3151_1;Ceterach officinarum Dc.;;+;90292
T3151_1;Foeniculum vulgare Miller;;+;98756
T3151_1;Calicotome spinosa (L.) Link;;1;87446
T3151_1;Andropogon distachyos L.;;+;82439
T3151_1;Ceratonia siliqua L.;;1;447038
T3151_1;Dactylis glomerata L.;;+;94207
T3151_1;Rubus ulmifolius Schott;;+;119373
T3151_1;Phagnalon sordidum (L.) Reichenb.;;+;112936
T3151_1;Pinus halepensis Miller;;1;113665
T3151_1;Pinus pinaster Aiton;;1;113689
T3151_1;Pistacia lentiscus L.;;3;113744
T3151_1;Pistacia terebinthus L.;;2;113748
T3151_1;Psoralea bituminosa L.;;1;116229
T3151_1;Ononis minutissima L.;;+;110205
T3151_1;Rubia peregrina L.;;3;118916
T3151_1;Phagnalon saxatile (L.) Cass.;;+;112935
T3151_1;Olea europaea L.;;1;110002
T3151_1;Rhamnus alaternus;;2;117526
T3151_1;Viola alba Besser;;1;129492
T3151_1;Myrtus communis L.;;2;109186
T3151_1;Ruscus aculeatus L.;;1;119698
T3151_1;Stachys rectus;;1;124805
T3151_1;Lonicera implexa Aiton;;+;106570
T3151_1;Melica pyramidalis;;1;107873
T3151_1;Smilax aspera L.;;1;123987
T3151_1;Loroglossum longibracteatum;;+;106624
T3151_1;Ruta chalepensis L.;;+;119710
T3151_10;Arisarum vulgare Targ. -tozz.;;+;83755
T3151_10;Brachypodium phoenicoides (L.) Roemer & Schultes;;2;86288
T3151_10;Helichrysum staechas;;1;101101
T3151_10;Euphorbia dendroides L.;;2;97492
T3151_10;Brachypodium retusum (Pers.) Beauv.;;1;86297
T3151_10;Fraxinus ornus L.;;2;98933
T3151_10;Avenula bromoides (Gouan) H. Scholz;;+;85431
T3151_10;Clematis flammula L.;;1;91867
T3151_10;Carex hallerana Asso;;+;88560
T3151_10;Epipactis helleborine (L.) Crantz;;+;96447
T3151_10;Cephalaria leucantha (L.) Roemer & Schultes;;+;89940
T3151_10;Hyparrhenia hirta (L.) Stapf;;+;103216
T3151_10;Bromus erectus Hudson;;2;86601
T3151_10;Galium mollugo L.;;+;99473
T3151_10;Hieracium pilosella L.;;+;102352
T3151_10;Eryngium campestre L.;;+;97141
T3151_10;Dorycnium hirsutum (L.) Ser.;;1;95269
T3151_10;Cephalanthera cucullata Boiss. & Heldr.;;+;190462
T3151_10;Carex flacca Schreber;;1;88510
T3151_10;Carlina corymbosa L.;;+;89155
T3151_10;Asparagus acutifolius L.;;1;84264
T3151_10;Helianthemum nummularium (L.) Miller;;+;100956
T3151_10;Juniperus oxycedrus L.;;2;104409
T3151_10;Hedera helix L.;;2;100787
T3151_10;Dactylis glomerata L.;;1;94207
T3151_10;Coriaria myrtifolia L.;;1;92467
T3151_10;Galium rubrum L.;;+;192690
T3151_10;Phillyrea angustifolia L.;;1;113142
T3151_10;Urospermum dalechampsi;;+;128255
T3151_10;Pinus halepensis Miller;;3;113665
T3151_10;Thymus vulgaris L.;;1;126582
T3151_10;Teucrium chamaedrys L.;;1;125981
T3151_10;Pistacia lentiscus L.;;3;113744
T3151_10;Stachys rectus;;+;124805
T3151_10;Pistacia terebinthus L.;;+;113748
T3151_10;Rubia peregrina L.;;1;118916
T3151_10;Sorbus domestica L.;;+;124319
T3151_10;Quercus ilex L.;;1;116704
T3151_10;Ranunculus bulbosus L.;;+;116952
T3151_10;Reichardia picroides (L.) Roth;;+;117426
T3151_10;Rhamnus alaternus;;2;117526
T3151_10;Smilax aspera L.;;1;123987
T3151_10;Sedum nicaeense;;+;122216
T3151_10;Scabiosa stellata L.;;+;121404
T3151_10;Psoralea bituminosa L.;;+;116229
T3151_10;Myrtus communis L.;;2;109186
T3151_10;Olea europaea L.;;1;110002
T3151_10;Origanum vulgare L.;;+;111289
T3151_10;Ononis minutissima L.;;1;110205
T3151_10;Lonicera implexa Aiton;;1;106570
T3151_11;Campanula rotundifolia L.;;+;87720
T3151_11;Crataegus monogyna Jacq.;;+;92876
T3151_11;Lactuca perennis L.;;+;104764
T3151_11;Brachypodium phoenicoides (L.) Roemer & Schultes;;1;86288
T3151_11;Dianthus caryophyllus L.;;+;94717
T3151_11;Blackstonia perfoliata (L.) Hudson;;+;86087
T3151_11;Amelanchier ovalis Medicus;;+;82103
T3151_11;Asparagus acutifolius L.;;1;84264
T3151_11;Hedera helix L.;;1;100787
T3151_11;Euphorbia dendroides L.;;1;97492
T3151_11;Centranthus ruber (L.) Dc.;;+;89888
T3151_11;Galium rubrum L.;;1;192690
T3151_11;Bromus erectus Hudson;;1;86601
T3151_11;Asplenium adiantum-nigrum L.;;1;84458
T3151_11;Carex hallerana Asso;;1;88560
T3151_11;Arbutus unedo L.;;+;83481
T3151_11;Cistus albidus L.;;+;91630
T3151_11;Geranium robertianum L.;;+;100142
T3151_11;Anthoxanthum odoratum L.;;1;82922
T3151_11;Jasminum fruticans L.;;1;104036
T3151_11;Fraxinus ornus L.;;2;98933
T3151_11;Calicotome spinosa (L.) Link;;1;87446
