NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T1702_1;Tunica prolifera;;+;127982
T1702_1;Poa bulbosa L.;;2;114136
T1702_1;Aphanes arvensis L.;;+;83159
T1702_1;Veronica verna L.;;1;129034
T1702_1;Myosotis micrantha;;+;195001
T1702_1;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;2;99165
T1702_1;Teesdalia nudicaulis (L.) R. Br.;;+;125831
T1702_1;Veronica arvensis L.;;+;128801
T1702_1;Spergula pentandra L.;;+;124519
T1702_1;Sedum rupestre;;2;122246
T1702_1;Erophila verna (L.) Chevall.;;2;97008
T1702_1;Rumex acetosella L.;;+;119419
T1702_1;Hypnum cupressiforme;;1;6033
T1702_1;Sedum album L.;;2;122106
T1702_1;Polytrichum piliferum;;2;3875
T1702_1;Sedum annuum L.;;+;122116
T1702_1;Festuca ovina L.;;1;98425
T1702_1;Cerastium pumilum Curtis;;+;90076
T1702_1;Acinos arvensis (Lam.) Dandy;;+;79991
T1702_1;Rhacomitrium canescens (Hedw.) Brid.;;3;5574
T1702_1;Tortula ruralis (Hedw.) Gaertn.;;1;5236
T1702_1;Scleranthus perennis L.;;3;121839
T1702_1;Rhytidium rugosum;;+;6124
T1702_10;Taraxacum levigatum;;+;125643
T1702_10;Veronica verna L.;;1;129034
T1702_10;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;+;99165
T1702_10;Sedum album L.;;1;122106
T1702_10;Alyssum alyssoides (L.) L.;;+;81878
T1702_10;Erophila verna (L.) Chevall.;;1;97008
T1702_10;Holosteum umbellatum L.;;+;102921
T1702_10;Poa bulbosa L.;;2;114136
T1702_10;Veronica arvensis L.;;+;128801
T1702_10;Ceratodon purpureus;;1;4802
T1702_10;Thymus praecox Opiz;;1;126564
T1702_10;Rhacomitrium canescens (Hedw.) Brid.;;2;5574
T1702_10;Polytrichum piliferum;;2;3875
T1702_10;Tortula ruralis (Hedw.) Gaertn.;;3;5236
T1702_10;Sedum acre L.;;1;122101
T1702_10;Myosotis micrantha;;+;195001
T1702_10;Sedum rupestre;;2;122246
T1702_10;Scleranthus perennis L.;;2;121839
T1702_11;Cerastium pumilum Curtis;;+;90076
T1702_11;Veronica arvensis L.;;+;128801
T1702_11;Myosotis micrantha;;+;195001
T1702_11;Saxifraga hypnoides L.;;+;121083
T1702_11;Poa bulbosa L.;;2;114136
T1702_11;Rhacomitrium canescens (Hedw.) Brid.;;3;5574
T1702_11;Veronica verna L.;;1;129034
T1702_11;Erophila verna (L.) Chevall.;;1;97008
T1702_11;Polytrichum piliferum;;1;3875
T1702_11;Hypnum cupressiforme;;3;6033
T1702_11;Sedum rupestre;;2;122246
T1702_11;Allium sphaerocephalon L.;;+;81520
T1702_11;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;3;99165
T1702_11;Scleranthus perennis L.;;2;121839
T1702_12;Potentilla verna;;+;115694
T1702_12;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;2;99165
T1702_12;Sedum rupestre;;1;122246
T1702_12;Hypnum cupressiforme;;1;6033
T1702_12;Allium senescens L.;;+;81366
T1702_12;Thymus praecox Opiz;;1;126564
T1702_12;Poa bulbosa L.;;2;114136
T1702_12;Acinos arvensis (Lam.) Dandy;;+;79991
T1702_12;Saxifraga hypnoides L.;;+;121083
T1702_12;Erophila verna (L.) Chevall.;;2;97008
T1702_12;Rhacomitrium canescens (Hedw.) Brid.;;3;5574
T1702_12;Sedum album L.;;2;122106
T1702_12;Scleranthus perennis L.;;2;121839
T1702_12;Polytrichum piliferum;;2;3875
T1702_12;Rhytidium rugosum;;+;6124
T1702_13;Poa bulbosa L.;;2;114136
T1702_13;Myosotis micrantha;;1;195001
T1702_13;Arabidopsis thaliana (L.) Heynh.;;+;83272
T1702_13;Erodium cicutarium (L.) L'her.;;+;96895
T1702_13;Acinos arvensis (Lam.) Dandy;;+;79991
T1702_13;Muscari comosum (L.) Miller;;+;108874
T1702_13;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;2;99165
T1702_13;Tortula ruralis (Hedw.) Gaertn.;;1;5236
T1702_13;Polytrichum piliferum;;2;3875
T1702_13;Festuca ovina L.;;2;98425
T1702_13;Sedum rupestre;;2;122246
T1702_13;Erophila verna (L.) Chevall.;;2;97008
T1702_13;Spergula pentandra L.;;1;124519
T1702_13;Rhacomitrium canescens (Hedw.) Brid.;;3;5574
T1702_13;Thymus praecox Opiz;;1;126564
T1702_13;Sedum album L.;;2;122106
T1702_13;Veronica verna L.;;1;129034
T1702_13;Scleranthus perennis L.;;3;121839
T1702_14;Taraxacum levigatum;;+;125643
T1702_14;Gagea bohemica (Zauschener) Schultes & Schultes Fil.;;1;99165
T1702_14;Abietinella abietina;;+;5422
T1702_14;Hypnum cupressiforme;;2;6033
T1702_14;Veronica arvensis L.;;+;128801
T1702_14;Poa bulbosa L.;;3;114136
T1702_14;Sedum acre L.;;1;122101
T1702_14;Arenaria serpyllifolia L.;;1;83653
T1702_14;Rhacomitrium canescens (Hedw.) Brid.;;3;5574
T1702_14;Tortula ruralis (Hedw.) Gaertn.;;3;5236
T1702_14;Erophila verna (L.) Chevall.;;2;97008
T1702_14;Scleranthus perennis L.;;2;121839
T1702_14;Trifolium arvense L.;;+;127230
T1702_14;Rhytidium rugosum;;1;6124
T1702_14;Echium vulgare L.;;+;95793
T1702_14;Sedum rupestre;;+;122246
T1702_14;Veronica verna L.;;1;129034
T1702_14;Sedum album L.;;3;122106
T1702_14;Vicia lathyroides L.;;+;129207
T1702_15;Scleranthus perennis L.;;+;121839
T1702_15;Vicia lathyroides L.;;+;129207
T1702_15;Arabidopsis thaliana (L.) Heynh.;;2;83272
T1702_15;Arenaria serpyllifolia L.;;1;83653
T1702_15;Tunica prolifera;;+;127982
T1702_15;Veronica arvensis L.;;1;128801
T1702_15;Erophila verna (L.) Chevall.;;2;97008
T1702_15;Thymus praecox Opiz;;+;126564
T1702_15;Sedum album L.;;3;122106
T1702_15;Poa bulbosa L.;;2;114136
T1702_15;Valerianella carinata Loisel.;;1;128460
T1702_15;Ceratodon purpureus;;1;4802
T1702_15;Erodium cicutarium (L.) L'her.;;+;96895
T1702_15;Trifolium arvense L.;;+;127230
T1702_15;Bunium bulbocastanum L.;;+;86983
