NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0101_1;Rumex acetosella L.;;+;119419
T0101_1;Thymus serpyllum L.;;+;126573
T0101_1;Polytrichum juniperinum;;1;3867
T0101_1;Anemone nemorosa L.;;+;82637
T0101_1;Carex caryophyllea Latourr.;;1;88415
T0101_1;Antennaria dioica (L.) Gaertner;;+;82796
T0101_1;Campanula rotundifolia L.;;+;87720
T0101_1;Cerastium arvense L.;;+;89968
T0101_1;Festuca duriuscula;;1;98205
T0101_1;Jasione perennis;;1;104023
T0101_1;Galium hercynicum;;1;99437
T0101_1;Hieracium pilosella L.;;1;102352
T0101_1;Luzula campestris (L.) Dc.;;+;106818
T0101_1;Nardus stricta L.;;5;109366
T0102_1;Polytrichum piliferum;;+;3875
T0102_1;Trifolium alpinum L.;;2;127219
T0102_1;Alchemilla alpina L.;;1;81033
T0102_1;Carex caryophyllea Latourr.;;+;88415
T0102_1;Antennaria dioica (L.) Gaertner;;+;82796
T0102_1;Luzula spicata (L.) Dc.;;+;106859
T0102_1;Phyteuma hemisphaericum L.;;+;113381
T0102_1;Festuca duriuscula;;3;98205
T0103_1;Saxifraga oppositifolia L.;;+;121132
T0103_1;Thlaspi rotundifolium (L.) Gaudin;;1;126389
T0103_1;Saussurea alpina (L.) Dc.;;+;120949
T0103_1;Ranunculus glacialis L.;;+;117043
T0103_1;Viola cenisia L.;;1;129534
T0103_1;Achillea nana L.;;+;79913
T0103_1;Linaria alpina (L.) Miller;;+;106144
T0103_1;Petrocallis pyrenaica (L.) R. Br.;;+;112803
T0103_1;Geum reptans L.;;+;100214
T0103_1;Galium helveticum;;1;192690
T0104_1;Poa alpina L.;;+;114105
T0104_1;Salix herbacea L.;;4;120057
T0104_1;Taraxacum officinale Weber;;+;125677
T0104_1;Plantago alpina L.;;2;113806
T0104_1;Polygonum viviparum L.;;+;114897
T0104_1;Veronica alpina L.;;+;128789
T0104_1;Alchemilla pyrenaica Dufour;;2;81150
T0104_1;Alopecurus gerardii Vill.;;1;81638
T0104_1;Androsace obtusifolia All.;;+;82519
T0104_1;Alchemilla pentaphyllea L.;;+;81140
T0104_1;Carex foetida All.;;+;88515
T0104_1;Geum montanum L.;;+;100208
T0104_1;Luzula spadicea;;+;106858
T0104_1;Gnaphalium supinum;;+;100515
T0105_1;Riccardia pinguis (L) Gray;;+;6252
T0105_1;Saxifraga aizoides L.;;2;120965
T0105_1;Sesleria caerulea (L.) Ard.;;+;123071
T0105_1;Arabis soyeri Reuter & Huet;;+;83409
T0105_1;Epilobium alsinifolium Vill.;;+;96130
T0105_1;Agrostis stolonifera L.;;2;80759
T0105_1;Bryum pseudotriquetrum (Hedw.) S;;+;5760
T0105_1;Equisetum variegatum Schleicher ex Weber & Mohr;;+;762284
T0105_1;Carex foetida All.;;+;88515
T0105_1;Pinguicula leptoceras Reichenb.;;1;113624
T0106_1;Swertia perennis L.;;2;125319
T0106_1;Potentilla tormentilla;;1;115680
T0106_1;Scirpus pauciflorus;;+;121761
T0106_1;Valeriana dioica L.;;+;128394
T0106_1;Eriophorum latifolium Hoppe;;+;96852
T0106_1;Carex flava L.;;3;88511
T0106_1;Carex panicea L.;;1;88752
T0106_1;Allium schoenoprasum L.;;2;81508
T0106_1;Carex davalliana Sm.;;1;88459
T0106_1;Molinia caerulea (L.) Moench;;2;108718
T0106_2;Primula farinosa L.;;+;115868
T0106_2;Potentilla tormentilla;;2;115680
T0106_2;Swertia perennis L.;;2;125319
T0106_2;Scirpus caespitosus;;1;121699
T0106_2;Valeriana dioica L.;;1;128394
T0106_2;Rhinanthus minor L.;;+;117616
T0106_2;Allium schoenoprasum L.;;+;81508
T0106_2;Carex panicea L.;;+;88752
T0106_2;Carex flava L.;;2;88511
T0106_2;Equisetum palustre L.;;+;96534
T0106_2;Bartsia alpina L.;;1;85602
T0106_2;Carex davalliana Sm.;;2;88459
T0106_2;Parnassia palustris L.;;+;112426
T0106_2;Molinia caerulea (L.) Moench;;2;108718
T0106_2;Orchis latifolia;;+;195513
T0106_3;Tofieldia calyculata (L.) Wahlenb.;;1;126798
T0106_3;Rhinanthus minor L.;;+;117616
T0106_3;Selaginella spinosa;;+;122309
T0106_3;Scirpus caespitosus;;3;121699
T0106_3;Valeriana dioica L.;;+;128394
T0106_3;Primula farinosa L.;;2;115868
T0106_3;Swertia perennis L.;;+;125319
T0106_3;Salix coesia;;+;119970
T0106_3;Potentilla tormentilla;;2;115680
T0106_3;Eriophorum latifolium Hoppe;;+;96852
T0106_3;Carex flava L.;;1;88511
T0106_3;Carex hostiana Dc.;;+;88578
T0106_3;Carex nigra (L.) Reichard;;1;88720
T0106_3;Carex davalliana Sm.;;+;88459
T0106_3;Drepanocladus intermedius (Lindb.);;2;5518
T0106_3;Bartsia alpina L.;;+;85602
T0106_3;Campylium stellatum (Hedw.) L;;+;5494
T0106_3;Parnassia palustris L.;;+;112426
T0106_3;Molinia caerulea (L.) Moench;;1;108718
T0106_3;Juncus alpinus Vill.;;+;104113
T0106_3;Pinguicula leptoceras Reichenb.;;2;113624
T0106_4;Selaginella spinosa;;+;122309
T0106_4;Primula farinosa L.;;1;115868
T0106_4;Salix coesia;;+;119970
T0106_4;Tofieldia calyculata (L.) Wahlenb.;;1;126798
T0106_4;Scirpus caespitosus;;5;121699
T0106_4;Potentilla tormentilla;;+;115680
T0106_4;Campylium stellatum (Hedw.) L;;2;5494
T0106_4;Carex panicea L.;;+;88752
T0106_4;Carex davalliana Sm.;;+;88459
T0106_4;Carex nigra (L.) Reichard;;+;88720
T0106_4;Eriophorum latifolium Hoppe;;+;96852
T0106_4;Bartsia alpina L.;;1;85602
T0106_4;Equisetum palustre L.;;+;96534
T0106_4;Drepanocladus intermedius (Lindb.);;1;5518
T0106_4;Carex flava L.;;+;88511
T0106_4;Pinguicula leptoceras Reichenb.;;1;113624
T0106_4;Parnassia palustris L.;;1;112426
T0106_4;Orchis latifolia;;1;195513
T0106_5;Swertia perennis L.;;+;125319
T0106_5;Valeriana dioica L.;;+;128394
T0106_5;Selaginella spinosa;;+;122309
T0106_5;Tofieldia calyculata (L.) Wahlenb.;;1;126798
T0106_5;Rhinanthus minor L.;;+;117616
T0106_5;Primula farinosa L.;;1;115868
T0106_5;Salix coesia;;+;119970
T0106_5;Scirpus caespitosus;;5;121699
T0106_5;Drepanocladus intermedius (Lindb.);;3;5518
T0106_5;Carex hostiana Dc.;;+;88578
T0106_5;Carex flava L.;;+;88511
T0106_5;Campylium stellatum (Hedw.) L;;1;5494
