NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T1901_1;Equisetum fluviatile L.;;+;96519
T1901_1;Carex acuta L.;;2;88314
T1901_1;Scirpus palustris;;1;121759
T1901_1;Polygonum amphibium L.;;2;114641
T1901_1;Lemna minor L.;;+;105431
T1901_1;Typha latifolia L.;;2;128077
T1901_1;Rorippa amphibia (L.) Besser;;2;117933
T1901_1;Rumex hydrolapathum Hudson;;+;771868
T1901_1;Lythrum salicaria L.;;+;107117
T1901_2;Carex versicaria L.;;1;88942
T1901_2;Rorippa amphibia (L.) Besser;;2;117933
T1901_2;Sparganium ramosum;;3;124417
T1901_2;Equisetum fluviatile L.;;2;96519
T1901_2;Typha latifolia L.;;3;128077
T1901_2;Juncus effusus L.;;1;104173
T1901_2;Potamogeton lucens L.;;+;115270
T1901_2;Lemna trisulca L.;;1;105441
T1901_3;Sparganium ramosum;;2;124417
T1901_3;Mentha aquatica L.;;1;108027
T1901_3;Typha latifolia L.;;3;128077
T1901_3;Equisetum fluviatile L.;;2;96519
T1901_3;Epilobium parviflorum Schreber;;+;96229
T1901_3;Scirpus palustris;;+;121759
T1901_3;Alisma plantago-aquatica L.;;1;81272
T1901_4;Lythrum salicaria L.;;1;107117
T1901_4;Galium palustre L.;;1;99494
T1901_4;Alnus glutinosa (L.) Gaertner;;1;81569
T1901_4;Lemna minor L.;;1;105431
T1901_4;Epilobium parviflorum Schreber;;1;96229
T1901_4;Typha latifolia L.;;4;128077
T1901_4;Lycopus europaeus L.;;1;107038
T1901_5;Nuphar luteum;;+;109732
T1901_5;Typha latifolia L.;;4;128077
T1902_1;Alisma plantago-aquatica L.;;+;81272
T1902_1;Potamogeton crispus L.;;2;115245
T1902_1;Typha latifolia L.;;+;128077
T1902_1;Elodea canadensis Michx;;+;95980
T1902_1;Sparganium ramosum;;4;124417
T1902_10;Carex versicaria L.;;1;88942
T1902_10;Sparganium ramosum;;3;124417
T1902_10;Glyceria fluitans (L.) R. Br.;;1;100387
T1902_2;Sparganium ramosum;;4;124417
T1902_2;Typha latifolia L.;;+;128077
T1902_2;Phalaris arundinacea L.;;+;112975
T1902_2;Equisetum fluviatile L.;;1;96519
T1902_2;Alisma plantago-aquatica L.;;+;81272
T1902_2;Lycopus europaeus L.;;1;107038
T1902_2;Mentha aquatica L.;;+;108027
T1902_2;Iris pseudacorus L.;;1;103772
T1902_3;Alisma plantago-aquatica L.;;+;81272
T1902_3;Sparganium ramosum;;2;124417
T1902_3;Hottonia palustris L.;;1;103027
T1902_3;Sagittaria sagittifolia L.;;3;119860
T1902_3;Ranunculus peltatus Schrank;;1;117164
T1902_3;Potamogeton natans L.;;4;115280
T1902_3;Oenanthe phellandrium;;+;109892
T1902_3;Nymphaea alba L.;;+;109750
T1902_4;Sparganium ramosum;;4;124417
T1902_4;Lysimachia vulgaris L.;;+;107090
T1902_4;Carex pseudocyperus L.;;+;88794
T1902_4;Potamogeton lucens L.;;2;115270
T1902_4;Rumex hydrolapathum Hudson;;2;771868
T1902_4;Sagittaria sagittifolia L.;;+;119860
T1902_5;Alnus glutinosa (L.) Gaertner;;+;81569
T1902_5;Wolffia arrhiza (L.) Horkel ex Wimmer;;1;130119
T1902_5;Lycopus europaeus L.;;1;107038
T1902_5;Spirodela polyrrhiza;;1;124707
T1902_5;Solanum dulcamara L.;;1;124034
T1902_5;Sparganium ramosum;;3;124417
T1902_5;Polygonum amphibium L.;;1;114641
T1902_5;Lemna minor L.;;1;105431
T1902_5;Lysimachia vulgaris L.;;+;107090
T1902_5;Typha latifolia L.;;1;128077
T1902_5;Lythrum salicaria L.;;1;107117
T1902_5;Salix cinerea L.;;+;119991
T1902_5;Scirpus lacustris L.;;+;121735
T1902_5;Iris pseudacorus L.;;1;103772
T1902_6;Polygonum amphibium L.;;+;114641
T1902_6;Lythrum salicaria L.;;1;107117
T1902_6;Potamogeton polygonifolius Pourret;;+;115301
T1902_6;Sparganium ramosum;;4;124417
T1902_6;Utricularia major;;2;620987
T1902_6;Typha latifolia L.;;1;128077
T1902_7;Iris pseudacorus L.;;1;103772
T1902_7;Equisetum fluviatile L.;;2;96519
T1902_7;Typha latifolia L.;;+;128077
T1902_7;Sparganium ramosum;;3;124417
T1902_8;Equisetum fluviatile L.;;1;96519
T1902_8;Typha latifolia L.;;1;128077
T1902_8;Solanum dulcamara L.;;1;124034
T1902_8;Sparganium ramosum;;5;124417
T1902_9;Equisetum fluviatile L.;;+;96519
T1902_9;Sparganium ramosum;;5;124417
T1902_9;Salix cinerea L.;;+;119991
T1903_1;Utricularia major;;+;620987
T1903_1;Equisetum fluviatile L.;;3;96519
T1903_1;Carex versicaria L.;;1;88942
T1903_1;Iris pseudacorus L.;;1;103772
T1903_10;Scirpus lacustris L.;;1;121735
T1903_10;Equisetum fluviatile L.;;4;96519
T1903_10;Menyanthes trifoliata L.;;+;108345
T1903_10;Utricularia major;;+;620987
T1903_10;Ranunculus lingua L.;;+;117096
T1903_10;Potamogeton gramineus L.;;+;115258
T1903_10;Nuphar luteum;;+;109732
T1903_10;Nymphaea alba L.;;1;109750
T1903_10;Hottonia palustris L.;;+;103027
T1903_10;Potamogeton lucens L.;;3;115270
T1903_10;Sagittaria sagittifolia L.;;+;119860
T1903_10;Potamogeton acutifolius Link;;1;115226
T1903_10;Sparganium ramosum;;+;124417
T1903_11;Utricularia major;;+;620987
T1903_11;Equisetum fluviatile L.;;5;96519
T1903_11;Potamogeton natans L.;;+;115280
T1903_11;Nymphaea alba L.;;4;109750
T1903_12;Equisetum fluviatile L.;;2;96519
T1903_12;Potamogeton natans L.;;1;115280
T1903_12;Nymphaea alba L.;;3;109750
T1903_12;Utricularia major;;+;620987
T1903_13;Potamogeton natans L.;;2;115280
T1903_13;Menyanthes trifoliata L.;;2;108345
T1903_13;Equisetum fluviatile L.;;4;96519
T1903_14;Equisetum fluviatile L.;;5;96519
T1903_14;Potamogeton natans L.;;1;115280
T1903_15;Equisetum fluviatile L.;;3;96519
T1903_15;Lemna minor L.;;3;105431
T1903_15;Carex versicaria L.;;+;88942
T1903_16;Equisetum fluviatile L.;;3;96519
T1903_2;Polygonum amphibium L.;;+;114641
T1903_2;Epilobium parviflorum Schreber;;+;96229
T1903_2;Scirpus lacustris L.;;+;121735
T1903_2;Solanum dulcamara L.;;+;124034
T1903_2;Lysimachia vulgaris L.;;1;107090
