NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0011_1;Ranunculus repens L.;;1;117201
T0011_1;Equisetum palustre L.;;+;96534
T0011_1;Cerastium fontanum Baumg.;;1;90008
T0011_1;Poa trivialis L.;;+;114416
T0011_1;Senecio jacobaea L.;;+;122636
T0011_1;Colchicum autumnale L.;;+;92127
T0011_1;Lathyrus pratensis L.;;1;105247
T0011_1;Plantago lanceolata L.;;1;113893
T0011_1;Crepis biennis L.;;2;93015
T0011_1;Rumex acetosa L.;;2;119418
T0011_1;Leucanthemum vulgare Lam.;;+;105817
T0011_1;Holcus lanatus L.;;1;102900
T0011_1;Stellaria graminea L.;;+;125000
T0011_1;Juncus conglomeratus L.;;+;104160
T0011_1;Lysimachia nummularia L.;;1;107073
T0011_1;Heracleum sphondylium L.;;+;101300
T0011_1;Festuca pratensis Hudson;;2;98460
T0011_1;Poa pratensis L.;;+;114332
T0011_1;Ranunculus acer;;1;116903
T0011_1;Festuca rubra L.;;+;98512
T0011_1;Galium palustre L.;;1;99494
T0011_1;Filipendula ulmaria (L.) Maxim.;;2;98717
T0011_1;Rhinanthus minor L.;;1;117616
T0011_1;Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl;;2;83912
T0011_1;Alopecurus pratensis L.;;1;81656
T0011_1;Lychnis flos-cuculi L.;;1;106918
T0011_1;Trifolium repens L.;;1;127454
T0011_1;Angelica sylvestris L.;;+;82738
T0011_1;Anthoxanthum odoratum L.;;2;82922
T0011_1;Phleum pratense L.;;+;113221
T0011_1;Anthriscus sylvestris (L.) Hoffm.;;+;82952
T0011_1;Centaurea pratensis;;1;89674
T0011_1;Bromus hordeaceus L. =mollis;;2;86680
T0011_1;Caltha palustris L.;;1;87540
T0011_1;Phalaris arundinacea L.;;+;112975
T0011_1;Trifolium pratense L.;;2;127439
T0011_1;Tragopogon pratensis L.;;+;127029
T0011_1;Taraxacum officinale Weber;;1;125677
T0011_1;Lotus uliginosus Schkuhr;;+;106723
