NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T1756_1;Galium hercynicum;;+;99437
T1756_1;Agrostis capillaris L.;;2;80591
T1756_1;Spergularia campestris;;+;124549
T1756_1;Taraxacum officinale Weber;;1;125677
T1756_1;Sagina procumbens L.;;+;119818
T1756_1;Rumex acetosella L.;;+;119419
T1756_1;Leontodon hispidus L.;;+;105502
T1756_1;Hypochoeris radicata L.;;1;446973
T1756_1;Hypochoeris glabra L.;;+;103364
T1756_1;Teesdalia nudicaulis (L.) R. Br.;;+;125831
T1756_1;Aira praecox L.;;2;80911
T1756_1;Cerastium fontanum Baumg.;;+;90008
T1756_1;Ornithopus perpusillus L.;;2;111419
T1756_1;Holcus mollis L.;;+;102901
T1756_1;Vicia lathyroides L.;;+;129207
T1756_1;Veronica officinalis L.;;+;128938
T1756_1;Hieracium pilosella L.;;1;102352
T1756_1;Anthoxanthum odoratum L.;;+;82922
T1756_1;Trifolium filiforme;;+;198631
T1756_1;Trifolium repens L.;;+;127454
T1756_2;Poa annua L.;;1;114114
T1756_2;Draba muralis L.;;+;95337
T1756_2;Agrostis capillaris L.;;+;80591
T1756_2;Saxifraga tridactylites L.;;+;121201
T1756_2;Sagina procumbens L.;;+;119818
T1756_2;Scleranthus annuus L.;;+;121823
T1756_2;Rumex acetosella L.;;1;119419
T1756_2;Aira praecox L.;;3;80911
T1756_2;Trifolium filiforme;;+;198631
T1756_2;Senecio silvaticus;;1;122726
T1756_2;Veronica arvensis L.;;+;128801
T1756_2;Ornithopus perpusillus L.;;+;111419
T1756_2;Cerastium fontanum Baumg.;;+;90008
T1756_2;Arenaria serpyllifolia L.;;+;83653
T1756_2;Sarothamnus scoparius;;+;120867
T1756_2;Teesdalia nudicaulis (L.) R. Br.;;2;125831
T1756_2;Vulpia myuros (L.) C. C. Gmelin;;1;130028
T1756_3;Agrostis capillaris L.;;3;80591
T1756_3;Hypochoeris radicata L.;;1;446973
T1756_3;Hypochoeris glabra L.;;+;103364
T1756_3;Filago minima;;2;98689
T1756_3;Hieracium pilosella L.;;+;102352
T1756_3;Veronica serpyllifolia L.;;+;129003
T1756_3;Festuca rubra L.;;1;98512
T1756_3;Hypericum humifusum L.;;+;103288
T1756_3;Ornithopus perpusillus L.;;2;111419
T1756_3;Plantago major L.;;1;113904
T1756_3;Trifolium repens L.;;+;127454
T1756_3;Rumex acetosella L.;;+;119419
T1756_3;Leontodon hispidus L.;;1;105502
T1756_3;Lolium perenne L.;;+;106499
T1756_3;Taraxacum officinale Weber;;1;125677
T1756_4;Veronica officinalis L.;;+;128938
T1756_4;Hieracium pilosella L.;;3;102352
T1756_4;Sarothamnus scoparius;;1;120867
T1756_4;Ornithopus perpusillus L.;;1;111419
T1756_4;Galium hercynicum;;+;99437
T1756_4;Holcus mollis L.;;+;102901
T1756_4;Betula pubescens Ehrh.;;+;85904
T1756_4;Teesdalia nudicaulis (L.) R. Br.;;1;125831
T1756_4;Festuca rubra L.;;1;98512
T1756_4;Hypochoeris radicata L.;;+;446973
T1756_4;Agrostis capillaris L.;;3;80591
T1756_4;Rumex acetosella L.;;+;119419
T1756_4;Luzula campestris (L.) Dc.;;1;106818
T1757_1;Sedum album L.;;+;122106
T1757_1;Helianthemum nummularium (L.) Miller;;+;100956
T1757_1;Vicia hirsuta (L.) S. F. Gray;;+;129191
T1757_1;Festuca duriuscula;;+;98205
T1757_1;Trifolium filiforme;;+;198631
T1757_1;Plantago lanceolata L.;;+;113893
T1757_1;Brachypodium pinnatum (L.) Beauv.;;+;86289
T1757_1;Valerianella olitoria;;+;128484
T1757_1;Sanguisorba minor Scop.;;+;120753
T1757_1;Thymus serpyllum L.;;+;126573
T1757_1;Veronica arvensis L.;;+;128801
T1757_1;Allium sphaerocephalon L.;;+;81520
T1757_1;Foeniculum vulgare Miller;;+;98756
T1757_2;Thymus serpyllum L.;;+;126573
T1757_2;Sedum rupestre;;+;122246
T1757_2;Geranium dissectum L.;;+;100052
T1757_2;Trifolium scabrum L.;;+;127470
T1757_2;Convolvulus arvensis L.;;+;92302
T1757_2;Scilla autumnalis L.;;+;121603
T1757_2;Aphanes microcarpa (Boiss. & Reuter) Rothm.;;+;717087
T1757_2;Bromus hordeaceus L. =mollis;;+;86680
T1757_2;Helianthemum nummularium (L.) Miller;;+;100956
T1757_2;Veronica arvensis L.;;+;128801
