NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T0003_1;Anthoxanthum odoratum L.;;1;82922
T0003_1;Ajuga reptans L.;;+;80990
T0003_1;Poa pratensis L.;;1;114332
T0003_1;Cynosurus cristatus L.;;2;93860
T0003_1;Prunella vulgaris L.;;+;116012
T0003_1;Lathyrus pratensis L.;;+;105247
T0003_1;Lotus corniculatus L.;;+;106653
T0003_1;Festuca pratensis Hudson;;1;98460
T0003_1;Dactylis glomerata L.;;+;94207
T0003_1;Poa trivialis L.;;1;114416
T0003_1;Festuca rubra L.;;2;98512
T0003_1;Trifolium pratense L.;;2;127439
T0003_1;Veronica serpyllifolia L.;;+;129003
T0003_1;Leontodon autumnalis L.;;1;105480
T0003_1;Cardamine pratensis L.;;+;87964
T0003_1;Polygonum bistorta L.;;+;114664
T0003_1;Veronica chamaedrys L.;;+;128832
T0003_1;Deschampsia cespitosa (L.) Beauv.;;+;94626
T0003_1;Trollius europaeus L.;;1;127872
T0003_1;Briza media L.;;+;86490
T0003_1;Alchemilla xanthochlora Rothm.;;1;81195
T0003_1;Leucanthemum vulgare Lam.;;+;105817
T0003_1;Primula officinalis;;+;115900
T0003_1;Carum carvi L.;;+;89250
T0003_1;Vicia sativa L.;;+;129298
T0003_1;Bellis perennis L.;;+;85740
T0003_1;Cerastium fontanum Baumg.;;+;90008
T0003_1;Trifolium repens L.;;1;127454
T0003_1;Nardus stricta L.;;2;109366
T0003_1;Gentiana campestris;;+;99872
T0003_1;Plantago media L.;;+;113906
T0003_1;Avenula pubescens (Hudson) Dumort.;;+;85439
T0003_1;Ranunculus acer;;+;116903
T0003_1;Hypericum maculatum Crantz;;+;103298
T0003_1;Agrostis capillaris L.;;1;80591
T0003_1;Geum rivale L.;;+;100215
T0003_1;Medicago lupulina L.;;+;107649
T0003_1;Filipendula ulmaria (L.) Maxim.;;+;98717
T0003_1;Cirsium acaule Scop.;;+;91274
T0003_1;Phyteuma orbiculare L.;;+;113389
T0003_1;Gentiana lutea L.;;+;99903
T0003_10;Gentiana lutea L.;;+;99903
T0003_10;Rumex acetosa L.;;+;119418
T0003_10;Leontodon autumnalis L.;;1;105480
